Diffraction MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/15/2018


Data for 0.6328 µm.
Surface: Image (RETINA)
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.002000	    0.999639	    0.999639
         0.004000	    0.999274	    0.999274
         0.006000	    0.998902	    0.998902
         0.008000	    0.998523	    0.998523
         0.010000	    0.998139	    0.998139
         0.012000	    0.997748	    0.997748
         0.014000	    0.997352	    0.997352
         0.016000	    0.996949	    0.996949
         0.018000	    0.996541	    0.996541
         0.020000	    0.996127	    0.996127
         0.022000	    0.995707	    0.995707
         0.024000	    0.995281	    0.995281
         0.026000	    0.994850	    0.994850
         0.028000	    0.994412	    0.994412
         0.030000	    0.993970	    0.993970
         0.032000	    0.993521	    0.993521
         0.034000	    0.993067	    0.993067
         0.036000	    0.992608	    0.992608
         0.038000	    0.992143	    0.992143
         0.040000	    0.991673	    0.991673
         0.042000	    0.991198	    0.991198
         0.044000	    0.990717	    0.990717
         0.046000	    0.990231	    0.990231
         0.048000	    0.989740	    0.989740
         0.050000	    0.989243	    0.989243
         0.052000	    0.988742	    0.988742
         0.054000	    0.988235	    0.988235
         0.056000	    0.987723	    0.987723
         0.058000	    0.987207	    0.987207
         0.060000	    0.986685	    0.986685
         0.062000	    0.986159	    0.986159
         0.064000	    0.985628	    0.985628
         0.066000	    0.985092	    0.985092
         0.068000	    0.984551	    0.984551
         0.070000	    0.984005	    0.984005
         0.072000	    0.983455	    0.983455
         0.074000	    0.982900	    0.982900
         0.076000	    0.982340	    0.982340
         0.078000	    0.981776	    0.981776
         0.080000	    0.981207	    0.981207
         0.082000	    0.980634	    0.980634
         0.084000	    0.980057	    0.980057
         0.086000	    0.979475	    0.979475
         0.088000	    0.978888	    0.978888
         0.090000	    0.978298	    0.978298
         0.092000	    0.977703	    0.977703
         0.094000	    0.977104	    0.977104
         0.096000	    0.976500	    0.976500
         0.098000	    0.975893	    0.975893
         0.100000	    0.975281	    0.975281
         0.102000	    0.974665	    0.974665
         0.104000	    0.974045	    0.974045
         0.106000	    0.973421	    0.973421
         0.108000	    0.972793	    0.972793
         0.110000	    0.972162	    0.972162
         0.112000	    0.971526	    0.971526
         0.114000	    0.970886	    0.970886
         0.116000	    0.970243	    0.970243
         0.118000	    0.969595	    0.969595
         0.120000	    0.968944	    0.968944
         0.122000	    0.968290	    0.968290
         0.124000	    0.967631	    0.967631
         0.126000	    0.966969	    0.966969
         0.128000	    0.966303	    0.966303
         0.130000	    0.965634	    0.965634
         0.132000	    0.964961	    0.964961
         0.134000	    0.964284	    0.964284
         0.136000	    0.963604	    0.963604
         0.138000	    0.962921	    0.962921
         0.140000	    0.962234	    0.962234
         0.142000	    0.961544	    0.961544
         0.144000	    0.960850	    0.960850
         0.146000	    0.960153	    0.960153
         0.148000	    0.959453	    0.959453
         0.150000	    0.958749	    0.958749
         0.152000	    0.958042	    0.958042
         0.154000	    0.957332	    0.957332
         0.156000	    0.956619	    0.956619
         0.158000	    0.955903	    0.955903
         0.160000	    0.955183	    0.955183
         0.162000	    0.954460	    0.954460
         0.164000	    0.953735	    0.953735
         0.166000	    0.953006	    0.953006
         0.168000	    0.952274	    0.952274
         0.170000	    0.951540	    0.951540
         0.172000	    0.950802	    0.950802
         0.174000	    0.950062	    0.950062
         0.176000	    0.949318	    0.949318
         0.178000	    0.948572	    0.948572
         0.180000	    0.947823	    0.947823
         0.182000	    0.947071	    0.947071
         0.184000	    0.946316	    0.946316
         0.186000	    0.945559	    0.945559
         0.188000	    0.944798	    0.944798
         0.190000	    0.944036	    0.944036
         0.192000	    0.943270	    0.943270
         0.194000	    0.942502	    0.942502
         0.196000	    0.941731	    0.941731
         0.198000	    0.940958	    0.940958
         0.200000	    0.940182	    0.940182
         0.202000	    0.939403	    0.939403
         0.204000	    0.938622	    0.938622
         0.206000	    0.937838	    0.937838
         0.208000	    0.937052	    0.937052
         0.210000	    0.936264	    0.936264
         0.212000	    0.935473	    0.935473
         0.214000	    0.934680	    0.934680
         0.216000	    0.933884	    0.933884
         0.218000	    0.933086	    0.933086
         0.220000	    0.932286	    0.932286
         0.222000	    0.931483	    0.931483
         0.224000	    0.930678	    0.930678
         0.226000	    0.929871	    0.929871
         0.228000	    0.929062	    0.929062
         0.230000	    0.928250	    0.928250
         0.232000	    0.927436	    0.927436
         0.234000	    0.926620	    0.926620
         0.236000	    0.925802	    0.925802
         0.238000	    0.924982	    0.924982
         0.240000	    0.924159	    0.924159
         0.242000	    0.923335	    0.923335
         0.244000	    0.922508	    0.922508
         0.246000	    0.921680	    0.921680
         0.248000	    0.920849	    0.920849
         0.250000	    0.920017	    0.920017
         0.252000	    0.919182	    0.919182
         0.254000	    0.918345	    0.918345
         0.256000	    0.917507	    0.917507
         0.258000	    0.916667	    0.916667
         0.260000	    0.915824	    0.915824
         0.262000	    0.914980	    0.914980
         0.264000	    0.914134	    0.914134
         0.266000	    0.913286	    0.913286
         0.268000	    0.912437	    0.912437
         0.270000	    0.911586	    0.911586
         0.272000	    0.910733	    0.910733
         0.274000	    0.909878	    0.909878
         0.276000	    0.909022	    0.909022
         0.278000	    0.908163	    0.908163
         0.280000	    0.907303	    0.907303
         0.282000	    0.906442	    0.906442
         0.284000	    0.905578	    0.905578
         0.286000	    0.904713	    0.904713
         0.288000	    0.903847	    0.903847
         0.290000	    0.902979	    0.902979
         0.292000	    0.902109	    0.902109
         0.294000	    0.901237	    0.901237
         0.296000	    0.900364	    0.900364
         0.298000	    0.899489	    0.899489
         0.300000	    0.898613	    0.898613
         0.302000	    0.897735	    0.897735
         0.304000	    0.896856	    0.896856
         0.306000	    0.895975	    0.895975
         0.308000	    0.895093	    0.895093
         0.310000	    0.894209	    0.894209
         0.312000	    0.893324	    0.893324
         0.314000	    0.892438	    0.892438
         0.316000	    0.891550	    0.891550
         0.318000	    0.890660	    0.890660
         0.320000	    0.889769	    0.889769
         0.322000	    0.888877	    0.888877
         0.324000	    0.887984	    0.887984
         0.326000	    0.887089	    0.887089
         0.328000	    0.886192	    0.886192
         0.330000	    0.885295	    0.885295
         0.332000	    0.884396	    0.884396
         0.334000	    0.883496	    0.883496
         0.336000	    0.882594	    0.882594
         0.338000	    0.881691	    0.881691
         0.340000	    0.880787	    0.880787
         0.342000	    0.879882	    0.879882
         0.344000	    0.878975	    0.878975
         0.346000	    0.878068	    0.878068
         0.348000	    0.877159	    0.877159
         0.350000	    0.876249	    0.876249
         0.352000	    0.875337	    0.875337
         0.354000	    0.874425	    0.874425
         0.356000	    0.873511	    0.873511
         0.358000	    0.872597	    0.872597
         0.360000	    0.871681	    0.871681
         0.362000	    0.870764	    0.870764
         0.364000	    0.869846	    0.869846
         0.366000	    0.868926	    0.868926
         0.368000	    0.868006	    0.868006
