Polychromatic Geometric MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/11/2018


Data for 0.6328 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.979158	    0.979158
        10.000000	    0.950630	    0.950630
        15.000000	    0.911517	    0.911517
        20.000000	    0.864797	    0.864797
        25.000000	    0.812193	    0.812193
        30.000000	    0.754975	    0.754975
        35.000000	    0.694938	    0.694938
        40.000000	    0.633752	    0.633752
        45.000000	    0.572903	    0.572903
        50.000000	    0.513691	    0.513691
        55.000000	    0.457188	    0.457188
        60.000000	    0.404196	    0.404196
        65.000000	    0.355220	    0.355220
        70.000000	    0.310536	    0.310536
        75.000000	    0.270169	    0.270169
        80.000000	    0.233960	    0.233960
        85.000000	    0.201623	    0.201623
        90.000000	    0.172774	    0.172774
        95.000000	    0.147008	    0.147008
       100.000000	    0.123923	    0.123923
       105.000000	    0.103166	    0.103166
       110.000000	    0.084454	    0.084454
       115.000000	    0.067598	    0.067598
       120.000000	    0.052456	    0.052456
       125.000000	    0.038983	    0.038983
       130.000000	    0.027338	    0.027338
       135.000000	    0.017301	    0.017301
       140.000000	    0.008673	    0.008673
       145.000000	    0.003387	    0.003387
       150.000000	    0.002390	    0.002390
       155.000000	    0.003892	    0.003892
       160.000000	    0.005416	    0.005416
       165.000000	    0.004920	    0.004920
       170.000000	    0.002301	    0.002301
       175.000000	    0.000586	    0.000586
       180.000000	    0.003818	    0.003818
       185.000000	    0.009096	    0.009096
       190.000000	    0.013769	    0.013769
       195.000000	    0.018452	    0.018452
       200.000000	    0.023073	    0.023073
       205.000000	    0.027220	    0.027220
       210.000000	    0.030802	    0.030802
       215.000000	    0.033755	    0.033755
       220.000000	    0.036016	    0.036016
       225.000000	    0.037582	    0.037582
       230.000000	    0.038486	    0.038486
       235.000000	    0.038776	    0.038776
       240.000000	    0.038520	    0.038520
       245.000000	    0.037790	    0.037790
       250.000000	    0.036657	    0.036657
       255.000000	    0.035189	    0.035189
       260.000000	    0.033445	    0.033445
       265.000000	    0.031477	    0.031477
       270.000000	    0.029329	    0.029329
       275.000000	    0.027040	    0.027040
       280.000000	    0.024646	    0.024646
       285.000000	    0.022181	    0.022181
       290.000000	    0.019682	    0.019682
       295.000000	    0.017188	    0.017188
       300.000000	    0.014740	    0.014740
       305.000000	    0.012379	    0.012379
       310.000000	    0.010147	    0.010147
       315.000000	    0.008083	    0.008083
       320.000000	    0.006221	    0.006221
       325.000000	    0.004588	    0.004588
       330.000000	    0.003196	    0.003196
       335.000000	    0.002064	    0.002064
       340.000000	    0.001189	    0.001189
       345.000000	    0.000487	    0.000487
       350.000000	    0.000062	    0.000062
       355.000000	    0.000121	    0.000121
       360.000000	    0.000304	    0.000304
       365.000000	    0.000292	    0.000292
       370.000000	    0.000167	    0.000167
       375.000000	    0.000074	    0.000074
       380.000000	    0.000113	    0.000113
       385.000000	    0.000235	    0.000235
       390.000000	    0.000371	    0.000371
       395.000000	    0.000468	    0.000468
       400.000000	    0.000521	    0.000521
       405.000000	    0.000533	    0.000533
       410.000000	    0.000504	    0.000504
       415.000000	    0.000437	    0.000437
       420.000000	    0.000342	    0.000342
       425.000000	    0.000227	    0.000227
       430.000000	    0.000112	    0.000112
       435.000000	    0.000028	    0.000028
       440.000000	   -0.000006	   -0.000006
       445.000000	   -0.000002	   -0.000002
       450.000000	    0.000002	    0.000002
       455.000000	   -0.000000	   -0.000000
       460.000000	   -0.000000	   -0.000000
       465.000000	    0.000000	    0.000000
       470.000000	    0.000000	    0.000000

