Polychromatic Geometric MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/11/2018


Data for 0.6328 µm.
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.100000	    0.974040	    0.974040
         0.200000	    0.935229	    0.935229
         0.300000	    0.882664	    0.882664
         0.400000	    0.820714	    0.820714
         0.500000	    0.751649	    0.751649
         0.600000	    0.678546	    0.678546
         0.700000	    0.604305	    0.604305
         0.800000	    0.531445	    0.531445
         0.900000	    0.462073	    0.462073
         1.000000	    0.397718	    0.397718
         1.100000	    0.339323	    0.339323
         1.200000	    0.287287	    0.287287
         1.300000	    0.241543	    0.241543
         1.400000	    0.201666	    0.201666
         1.500000	    0.167009	    0.167009
         1.600000	    0.136844	    0.136844
         1.700000	    0.110466	    0.110466
         1.800000	    0.087281	    0.087281
         1.900000	    0.066871	    0.066871
         2.000000	    0.048963	    0.048963
         2.100000	    0.033528	    0.033528
         2.200000	    0.020569	    0.020569
         2.300000	    0.009878	    0.009878
         2.400000	    0.003216	    0.003216
         2.500000	    0.002217	    0.002217
         2.600000	    0.005095	    0.005095
         2.700000	    0.005622	    0.005622
         2.800000	    0.002345	    0.002345
         2.900000	    0.000971	    0.000971
         3.000000	    0.005616	    0.005616
         3.100000	    0.011377	    0.011377
         3.200000	    0.017248	    0.017248
         3.300000	    0.022958	    0.022958
         3.400000	    0.028040	    0.028040
         3.500000	    0.032268	    0.032268
         3.600000	    0.035486	    0.035486
         3.700000	    0.037642	    0.037642
         3.800000	    0.038768	    0.038768
         3.900000	    0.038958	    0.038958
         4.000000	    0.038339	    0.038339
         4.100000	    0.037057	    0.037057
         4.200000	    0.035250	    0.035250
         4.300000	    0.033042	    0.033042
         4.400000	    0.030537	    0.030537
         4.500000	    0.027818	    0.027818
         4.600000	    0.024953	    0.024953
         4.700000	    0.022001	    0.022001
         4.800000	    0.019019	    0.019019
         4.900000	    0.016064	    0.016064
         5.000000	    0.013200	    0.013200
         5.100000	    0.010493	    0.010493
         5.200000	    0.008007	    0.008007
         5.300000	    0.005804	    0.005804
         5.400000	    0.003921	    0.003921
         5.500000	    0.002404	    0.002404
         5.600000	    0.001245	    0.001245
         5.700000	    0.000372	    0.000372
         5.800000	    0.000139	    0.000139
         5.900000	    0.000314	    0.000314
         6.000000	    0.000350	    0.000350
         6.100000	    0.000244	    0.000244
         6.200000	    0.000091	    0.000091
         6.300000	    0.000111	    0.000111
         6.400000	    0.000330	    0.000330
         6.500000	    0.000470	    0.000470
         6.600000	    0.000541	    0.000541
         6.700000	    0.000550	    0.000550
         6.800000	    0.000493	    0.000493
         6.900000	    0.000385	    0.000385
         7.000000	    0.000248	    0.000248
         7.100000	    0.000100	    0.000100
         7.200000	    0.000004	    0.000004
         7.300000	   -0.000001	   -0.000001
         7.400000	    0.000001	    0.000001
         7.500000	   -0.000000	   -0.000000
         7.600000	    0.000000	    0.000000
         7.700000	    0.000000	    0.000000

