Diffraction MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/11/2018


Data for 0.6328 µm.
Surface: Image (RETINA)
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         1.000000	    0.996786	    0.996786
         2.000000	    0.993299	    0.993299
         3.000000	    0.989366	    0.989366
         4.000000	    0.985061	    0.985061
         5.000000	    0.980454	    0.980454
         6.000000	    0.975548	    0.975548
         7.000000	    0.970353	    0.970353
         8.000000	    0.964897	    0.964897
         9.000000	    0.959203	    0.959203
        10.000000	    0.953285	    0.953285
        11.000000	    0.947161	    0.947161
        12.000000	    0.940847	    0.940847
        13.000000	    0.934357	    0.934357
        14.000000	    0.927706	    0.927706
        15.000000	    0.920906	    0.920906
        16.000000	    0.913969	    0.913969
        17.000000	    0.906906	    0.906906
        18.000000	    0.899728	    0.899728
        19.000000	    0.892443	    0.892443
        20.000000	    0.885060	    0.885060
        21.000000	    0.877588	    0.877588
        22.000000	    0.870034	    0.870034
        23.000000	    0.862404	    0.862404
        24.000000	    0.854705	    0.854705
        25.000000	    0.846945	    0.846945
        26.000000	    0.839127	    0.839127
        27.000000	    0.831257	    0.831257
        28.000000	    0.823339	    0.823339
        29.000000	    0.815380	    0.815380
        30.000000	    0.807381	    0.807381
        31.000000	    0.799348	    0.799348
        32.000000	    0.791283	    0.791283
        33.000000	    0.783192	    0.783192
        34.000000	    0.775077	    0.775077
        35.000000	    0.766940	    0.766940
        36.000000	    0.758786	    0.758786
        37.000000	    0.750617	    0.750617
        38.000000	    0.742436	    0.742436
        39.000000	    0.734246	    0.734246
        40.000000	    0.726048	    0.726048
        41.000000	    0.717846	    0.717846
        42.000000	    0.709642	    0.709642
        43.000000	    0.701438	    0.701438
        44.000000	    0.693237	    0.693237
        45.000000	    0.685041	    0.685041
        46.000000	    0.676853	    0.676853
        47.000000	    0.668674	    0.668674
        48.000000	    0.660504	    0.660504
        49.000000	    0.652347	    0.652347
        50.000000	    0.644215	    0.644215
        51.000000	    0.636117	    0.636117
        52.000000	    0.628041	    0.628041
        53.000000	    0.619983	    0.619983
        54.000000	    0.611948	    0.611948
        55.000000	    0.603939	    0.603939
        56.000000	    0.595957	    0.595957
        57.000000	    0.588004	    0.588004
        58.000000	    0.580081	    0.580081
        59.000000	    0.572190	    0.572190
        60.000000	    0.564333	    0.564333
        61.000000	    0.556512	    0.556512
        62.000000	    0.548728	    0.548728
        63.000000	    0.540983	    0.540983
        64.000000	    0.533278	    0.533278
        65.000000	    0.525615	    0.525615
        66.000000	    0.517996	    0.517996
        67.000000	    0.510422	    0.510422
        68.000000	    0.502893	    0.502893
        69.000000	    0.495412	    0.495412
        70.000000	    0.487981	    0.487981
        71.000000	    0.480600	    0.480600
        72.000000	    0.473269	    0.473269
        73.000000	    0.465988	    0.465988
        74.000000	    0.458773	    0.458773
        75.000000	    0.451629	    0.451629
        76.000000	    0.444543	    0.444543
        77.000000	    0.437511	    0.437511
        78.000000	    0.430536	    0.430536
        79.000000	    0.423622	    0.423622
        80.000000	    0.416768	    0.416768
        81.000000	    0.409975	    0.409975
        82.000000	    0.403243	    0.403243
        83.000000	    0.396575	    0.396575
        84.000000	    0.389970	    0.389970
        85.000000	    0.383429	    0.383429
        86.000000	    0.376953	    0.376953
        87.000000	    0.370544	    0.370544
        88.000000	    0.364201	    0.364201
        89.000000	    0.357922	    0.357922
        90.000000	    0.351710	    0.351710
        91.000000	    0.345579	    0.345579
        92.000000	    0.339529	    0.339529
        93.000000	    0.333551	    0.333551
        94.000000	    0.327643	    0.327643
        95.000000	    0.321805	    0.321805
        96.000000	    0.316036	    0.316036
        97.000000	    0.310340	    0.310340
        98.000000	    0.304715	    0.304715
        99.000000	    0.299162	    0.299162
       100.000000	    0.293681	    0.293681
       101.000000	    0.288273	    0.288273
       102.000000	    0.282937	    0.282937
       103.000000	    0.277674	    0.277674
       104.000000	    0.272486	    0.272486
       105.000000	    0.267380	    0.267380
       106.000000	    0.262362	    0.262362
       107.000000	    0.257422	    0.257422
       108.000000	    0.252553	    0.252553
       109.000000	    0.247756	    0.247756
       110.000000	    0.243035	    0.243035
       111.000000	    0.238389	    0.238389
       112.000000	    0.233818	    0.233818
       113.000000	    0.229320	    0.229320
       114.000000	    0.224897	    0.224897
       115.000000	    0.220551	    0.220551
       116.000000	    0.216278	    0.216278
       117.000000	    0.212075	    0.212075
       118.000000	    0.207953	    0.207953
       119.000000	    0.203921	    0.203921
       120.000000	    0.199971	    0.199971
       121.000000	    0.196095	    0.196095
       122.000000	    0.192291	    0.192291
       123.000000	    0.188561	    0.188561
       124.000000	    0.184906	    0.184906
       125.000000	    0.181324	    0.181324
       126.000000	    0.177815	    0.177815
       127.000000	    0.174377	    0.174377
       128.000000	    0.171015	    0.171015
       129.000000	    0.167734	    0.167734
       130.000000	    0.164538	    0.164538
       131.000000	    0.161419	    0.161419
       132.000000	    0.158367	    0.158367
       133.000000	    0.155384	    0.155384
       134.000000	    0.152474	    0.152474
       135.000000	    0.149635	    0.149635
       136.000000	    0.146865	    0.146865
       137.000000	    0.144160	    0.144160
       138.000000	    0.141525	    0.141525
       139.000000	    0.138971	    0.138971
       140.000000	    0.136495	    0.136495
       141.000000	    0.134090	    0.134090
       142.000000	    0.131751	    0.131751
       143.000000	    0.129478	    0.129478
       144.000000	    0.127269	    0.127269
       145.000000	    0.125126	    0.125126
       146.000000	    0.123048	    0.123048
       147.000000	    0.121033	    0.121033
       148.000000	    0.119078	    0.119078
       149.000000	    0.117190	    0.117190
       150.000000	    0.115380	    0.115380
       151.000000	    0.113640	    0.113640
       152.000000	    0.111958	    0.111958
       153.000000	    0.110333	    0.110333
       154.000000	    0.108767	    0.108767
       155.000000	    0.107262	    0.107262
       156.000000	    0.105814	    0.105814
       157.000000	    0.104420	    0.104420
       158.000000	    0.103081	    0.103081
       159.000000	    0.101803	    0.101803
       160.000000	    0.100592	    0.100592
       161.000000	    0.099442	    0.099442
       162.000000	    0.098349	    0.098349
       163.000000	    0.097309	    0.097309
       164.000000	    0.096317	    0.096317
       165.000000	    0.095373	    0.095373
       166.000000	    0.094486	    0.094486
       167.000000	    0.093665	    0.093665
       168.000000	    0.092900	    0.092900
       169.000000	    0.092182	    0.092182
       170.000000	    0.091511	    0.091511
       171.000000	    0.090887	    0.090887
       172.000000	    0.090310	    0.090310
       173.000000	    0.089778	    0.089778
       174.000000	    0.089291	    0.089291
       175.000000	    0.088847	    0.088847
       176.000000	    0.088449	    0.088449
       177.000000	    0.088102	    0.088102
       178.000000	    0.087813	    0.087813
       179.000000	    0.087569	    0.087569
       180.000000	    0.087363	    0.087363
       181.000000	    0.087194	    0.087194
       182.000000	    0.087065	    0.087065
       183.000000	    0.086982	    0.086982
       184.000000	    0.086948	    0.086948
       185.000000	    0.086961	    0.086961
       186.000000	    0.087015	    0.087015
       187.000000	    0.087106	    0.087106
       188.000000	    0.087230	    0.087230
       189.000000	    0.087387	    0.087387
       190.000000	    0.087587	    0.087587
       191.000000	    0.087838	    0.087838
