Diffraction MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/11/2018


Data for 0.6328 µm.
Surface: Image (RETINA)
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.020000	    0.996078	    0.996078
         0.040000	    0.991680	    0.991680
         0.060000	    0.986658	    0.986658
         0.080000	    0.981166	    0.981166
         0.100000	    0.975233	    0.975233
         0.120000	    0.968879	    0.968879
         0.140000	    0.962153	    0.962153
         0.160000	    0.955087	    0.955087
         0.180000	    0.947709	    0.947709
         0.200000	    0.940050	    0.940050
         0.220000	    0.932136	    0.932136
         0.240000	    0.923990	    0.923990
         0.260000	    0.915636	    0.915636
         0.280000	    0.907092	    0.907092
         0.300000	    0.898378	    0.898378
         0.320000	    0.889510	    0.889510
         0.340000	    0.880503	    0.880503
         0.360000	    0.871372	    0.871372
         0.380000	    0.862128	    0.862128
         0.400000	    0.852783	    0.852783
         0.420000	    0.843349	    0.843349
         0.440000	    0.833833	    0.833833
         0.460000	    0.824246	    0.824246
         0.480000	    0.814596	    0.814596
         0.500000	    0.804890	    0.804890
         0.520000	    0.795134	    0.795134
         0.540000	    0.785336	    0.785336
         0.560000	    0.775501	    0.775501
         0.580000	    0.765635	    0.765635
         0.600000	    0.755744	    0.755744
         0.620000	    0.745832	    0.745832
         0.640000	    0.735905	    0.735905
         0.660000	    0.725966	    0.725966
         0.680000	    0.716022	    0.716022
         0.700000	    0.706075	    0.706075
         0.720000	    0.696130	    0.696130
         0.740000	    0.686191	    0.686191
         0.760000	    0.676263	    0.676263
         0.780000	    0.666349	    0.666349
         0.800000	    0.656447	    0.656447
         0.820000	    0.646576	    0.646576
         0.840000	    0.636751	    0.636751
         0.860000	    0.626958	    0.626958
         0.880000	    0.617196	    0.617196
         0.900000	    0.607468	    0.607468
         0.920000	    0.597779	    0.597779
         0.940000	    0.588132	    0.588132
         0.960000	    0.578529	    0.578529
         0.980000	    0.568975	    0.568975
         1.000000	    0.559471	    0.559471
         1.020000	    0.550021	    0.550021
         1.040000	    0.540628	    0.540628
         1.060000	    0.531294	    0.531294
         1.080000	    0.522023	    0.522023
         1.100000	    0.512816	    0.512816
         1.120000	    0.503676	    0.503676
         1.140000	    0.494606	    0.494606
         1.160000	    0.485610	    0.485610
         1.180000	    0.476686	    0.476686
         1.200000	    0.467835	    0.467835
         1.220000	    0.459079	    0.459079
         1.240000	    0.450419	    0.450419
         1.260000	    0.441845	    0.441845
         1.280000	    0.433354	    0.433354
         1.300000	    0.424949	    0.424949
         1.320000	    0.416632	    0.416632
         1.340000	    0.408405	    0.408405
         1.360000	    0.400270	    0.400270
         1.380000	    0.392227	    0.392227
         1.400000	    0.384278	    0.384278
         1.420000	    0.376425	    0.376425
         1.440000	    0.368670	    0.368670
         1.460000	    0.361010	    0.361010
         1.480000	    0.353448	    0.353448
         1.500000	    0.345996	    0.345996
         1.520000	    0.338661	    0.338661
         1.540000	    0.331438	    0.331438
         1.560000	    0.324313	    0.324313
         1.580000	    0.317291	    0.317291
         1.600000	    0.310375	    0.310375
         1.620000	    0.303564	    0.303564
         1.640000	    0.296858	    0.296858
         1.660000	    0.290259	    0.290259
         1.680000	    0.283769	    0.283769
         1.700000	    0.277381	    0.277381
         1.720000	    0.271105	    0.271105
         1.740000	    0.264959	    0.264959
         1.760000	    0.258931	    0.258931
         1.780000	    0.253008	    0.253008
         1.800000	    0.247195	    0.247195
         1.820000	    0.241492	    0.241492
         1.840000	    0.235898	    0.235898
         1.860000	    0.230414	    0.230414
         1.880000	    0.225040	    0.225040
         1.900000	    0.219776	    0.219776
         1.920000	    0.214618	    0.214618
         1.940000	    0.209573	    0.209573
         1.960000	    0.204650	    0.204650
         1.980000	    0.199853	    0.199853
         2.000000	    0.195168	    0.195168
         2.020000	    0.190586	    0.190586
         2.040000	    0.186114	    0.186114
         2.060000	    0.181752	    0.181752
         2.080000	    0.177497	    0.177497
         2.100000	    0.173344	    0.173344
         2.120000	    0.169308	    0.169308
         2.140000	    0.165398	    0.165398
         2.160000	    0.161598	    0.161598
         2.180000	    0.157902	    0.157902
         2.200000	    0.154310	    0.154310
         2.220000	    0.150822	    0.150822
         2.240000	    0.147436	    0.147436
         2.260000	    0.144151	    0.144151
         2.280000	    0.140967	    0.140967
         2.300000	    0.137897	    0.137897
         2.320000	    0.134946	    0.134946
         2.340000	    0.132091	    0.132091
         2.360000	    0.129330	    0.129330
         2.380000	    0.126666	    0.126666
         2.400000	    0.124100	    0.124100
         2.420000	    0.121624	    0.121624
         2.440000	    0.119239	    0.119239
         2.460000	    0.116957	    0.116957
         2.480000	    0.114781	    0.114781
         2.500000	    0.112702	    0.112702
         2.520000	    0.110710	    0.110710
         2.540000	    0.108802	    0.108802
         2.560000	    0.106981	    0.106981
         2.580000	    0.105247	    0.105247
         2.600000	    0.103592	    0.103592
         2.620000	    0.102017	    0.102017
         2.640000	    0.100543	    0.100543
         2.660000	    0.099164	    0.099164
         2.680000	    0.097859	    0.097859
         2.700000	    0.096630	    0.096630
         2.720000	    0.095477	    0.095477
         2.740000	    0.094400	    0.094400
         2.760000	    0.093417	    0.093417
         2.780000	    0.092517	    0.092517
         2.800000	    0.091682	    0.091682
         2.820000	    0.090915	    0.090915
         2.840000	    0.090219	    0.090219
         2.860000	    0.089591	    0.089591
         2.880000	    0.089023	    0.089023
         2.900000	    0.088522	    0.088522
         2.920000	    0.088101	    0.088101
         2.940000	    0.087754	    0.087754
