Polychromatic Geometric MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/11/2018


Data for 0.6328 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.993672	    0.993672
        10.000000	    0.979219	    0.979219
        15.000000	    0.953313	    0.953313
        20.000000	    0.918532	    0.918532
        25.000000	    0.876285	    0.876285
        30.000000	    0.827610	    0.827610
        35.000000	    0.774174	    0.774174
        40.000000	    0.717623	    0.717623
        45.000000	    0.659504	    0.659504
        50.000000	    0.601271	    0.601271
        55.000000	    0.544200	    0.544200
        60.000000	    0.489342	    0.489342
        65.000000	    0.437463	    0.437463
        70.000000	    0.389090	    0.389090
        75.000000	    0.344475	    0.344475
        80.000000	    0.303645	    0.303645
        85.000000	    0.266451	    0.266451
        90.000000	    0.232595	    0.232595
        95.000000	    0.201717	    0.201717
       100.000000	    0.173425	    0.173425
       105.000000	    0.147358	    0.147358
       110.000000	    0.123226	    0.123226
       115.000000	    0.100845	    0.100845
       120.000000	    0.080090	    0.080090
       125.000000	    0.060981	    0.060981
       130.000000	    0.043884	    0.043884
       135.000000	    0.028546	    0.028546
       140.000000	    0.014767	    0.014767
       145.000000	    0.005985	    0.005985
       150.000000	    0.004191	    0.004191
       155.000000	    0.007017	    0.007017
       160.000000	    0.010311	    0.010311
       165.000000	    0.009989	    0.009989
       170.000000	    0.004582	    0.004582
       175.000000	    0.000368	    0.000368
       180.000000	    0.006860	    0.006860
       185.000000	    0.018216	    0.018216
       190.000000	    0.028914	    0.028914
       195.000000	    0.040326	    0.040326
       200.000000	    0.052294	    0.052294
       205.000000	    0.063890	    0.063890
       210.000000	    0.074814	    0.074814
       215.000000	    0.084803	    0.084803
       220.000000	    0.093573	    0.093573
       225.000000	    0.100978	    0.100978
       230.000000	    0.106947	    0.106947
       235.000000	    0.111468	    0.111468
       240.000000	    0.114590	    0.114590
       245.000000	    0.116395	    0.116395
       250.000000	    0.116984	    0.116984
       255.000000	    0.116462	    0.116462
       260.000000	    0.114928	    0.114928
       265.000000	    0.112463	    0.112463
       270.000000	    0.109128	    0.109128
       275.000000	    0.104970	    0.104970
       280.000000	    0.100024	    0.100024
       285.000000	    0.094319	    0.094319
       290.000000	    0.087892	    0.087892
       295.000000	    0.080800	    0.080800
       300.000000	    0.073119	    0.073119
       305.000000	    0.064962	    0.064962
       310.000000	    0.056470	    0.056470
       315.000000	    0.047814	    0.047814
       320.000000	    0.039210	    0.039210
       325.000000	    0.030864	    0.030864
       330.000000	    0.022943	    0.022943
       335.000000	    0.015827	    0.015827
       340.000000	    0.009709	    0.009709
       345.000000	    0.003902	    0.003902
       350.000000	    0.000163	    0.000163
       355.000000	    0.001614	    0.001614
       360.000000	    0.004292	    0.004292
       365.000000	    0.004485	    0.004485
       370.000000	    0.003035	    0.003035
       375.000000	    0.001667	    0.001667
       380.000000	    0.002021	    0.002021
       385.000000	    0.004733	    0.004733
       390.000000	    0.009144	    0.009144
       395.000000	    0.013819	    0.013819
       400.000000	    0.018617	    0.018617
       405.000000	    0.023624	    0.023624
       410.000000	    0.028646	    0.028646
       415.000000	    0.033573	    0.033573
       420.000000	    0.038349	    0.038349
       425.000000	    0.042907	    0.042907
       430.000000	    0.047193	    0.047193
       435.000000	    0.051160	    0.051160
       440.000000	    0.054762	    0.054762
       445.000000	    0.057942	    0.057942
       450.000000	    0.060636	    0.060636
       455.000000	    0.062810	    0.062810
       460.000000	    0.064385	    0.064385
       465.000000	    0.065180	    0.065180
       470.000000	    0.065418	    0.065418

