Polychromatic Geometric MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/11/2018


Data for 0.6328 µm.
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.100000	    0.991568	    0.991568
         0.200000	    0.969466	    0.969466
         0.300000	    0.932050	    0.932050
         0.400000	    0.883084	    0.883084
         0.500000	    0.824410	    0.824410
         0.600000	    0.758893	    0.758893
         0.700000	    0.689426	    0.689426
         0.800000	    0.618706	    0.618706
         0.900000	    0.549158	    0.549158
         1.000000	    0.482721	    0.482721
         1.100000	    0.420772	    0.420772
         1.200000	    0.364120	    0.364120
         1.300000	    0.313045	    0.313045
         1.400000	    0.267377	    0.267377
         1.500000	    0.226628	    0.226628
         1.600000	    0.190146	    0.190146
         1.700000	    0.157251	    0.157251
         1.800000	    0.127353	    0.127353
         1.900000	    0.100066	    0.100066
         2.000000	    0.075180	    0.075180
         2.100000	    0.052856	    0.052856
         2.200000	    0.033315	    0.033315
         2.300000	    0.016439	    0.016439
         2.400000	    0.005500	    0.005500
         2.500000	    0.003919	    0.003919
         2.600000	    0.009254	    0.009254
         2.700000	    0.010535	    0.010535
         2.800000	    0.004471	    0.004471
         2.900000	    0.001971	    0.001971
         3.000000	    0.011564	    0.011564
         3.100000	    0.024208	    0.024208
         3.200000	    0.038012	    0.038012
         3.300000	    0.052404	    0.052404
         3.400000	    0.066377	    0.066377
         3.500000	    0.079296	    0.079296
         3.600000	    0.090628	    0.090628
         3.700000	    0.100025	    0.100025
         3.800000	    0.107321	    0.107321
         3.900000	    0.112496	    0.112496
         4.000000	    0.115645	    0.115645
         4.100000	    0.116932	    0.116932
         4.200000	    0.116541	    0.116541
         4.300000	    0.114650	    0.114650
         4.400000	    0.111403	    0.111403
         4.500000	    0.106903	    0.106903
         4.600000	    0.101222	    0.101222
         4.700000	    0.094417	    0.094417
         4.800000	    0.086551	    0.086551
         4.900000	    0.077726	    0.077726
         5.000000	    0.068101	    0.068101
         5.100000	    0.057899	    0.057899
         5.200000	    0.047417	    0.047417
         5.300000	    0.037024	    0.037024
         5.400000	    0.027045	    0.027045
         5.500000	    0.018033	    0.018033
         5.600000	    0.010206	    0.010206
         5.700000	    0.003288	    0.003288
         5.800000	    0.001465	    0.001465
         5.900000	    0.003459	    0.003459
         6.000000	    0.004357	    0.004357
         6.100000	    0.003483	    0.003483
         6.200000	    0.001385	    0.001385
         6.300000	    0.002198	    0.002198
         6.400000	    0.007437	    0.007437
         6.500000	    0.012905	    0.012905
         6.600000	    0.018700	    0.018700
         6.700000	    0.024806	    0.024806
         6.800000	    0.030849	    0.030849
         6.900000	    0.036733	    0.036733
         7.000000	    0.042327	    0.042327
         7.100000	    0.047531	    0.047531
         7.200000	    0.052262	    0.052262
         7.300000	    0.056429	    0.056429
         7.400000	    0.059929	    0.059929
         7.500000	    0.062697	    0.062697
         7.600000	    0.064490	    0.064490
         7.700000	    0.065396	    0.065396

