Diffraction MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/15/2018


Data for 0.6328 µm.
Surface: Image (RETINA)
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.005000	    0.999042	    0.999042
         0.010000	    0.997989	    0.997989
         0.015000	    0.996806	    0.996806
         0.020000	    0.995515	    0.995515
         0.025000	    0.994118	    0.994118
         0.030000	    0.992612	    0.992612
         0.035000	    0.991002	    0.991002
         0.040000	    0.989292	    0.989292
         0.045000	    0.987481	    0.987481
         0.050000	    0.985574	    0.985574
         0.055000	    0.983573	    0.983573
         0.060000	    0.981480	    0.981480
         0.065000	    0.979297	    0.979297
         0.070000	    0.977027	    0.977027
         0.075000	    0.974673	    0.974673
         0.080000	    0.972236	    0.972236
         0.085000	    0.969720	    0.969720
         0.090000	    0.967127	    0.967127
         0.095000	    0.964458	    0.964458
         0.100000	    0.961717	    0.961717
         0.105000	    0.958907	    0.958907
         0.110000	    0.956028	    0.956028
         0.115000	    0.953084	    0.953084
         0.120000	    0.950077	    0.950077
         0.125000	    0.947009	    0.947009
         0.130000	    0.943883	    0.943883
         0.135000	    0.940701	    0.940701
         0.140000	    0.937465	    0.937465
         0.145000	    0.934177	    0.934177
         0.150000	    0.930839	    0.930839
         0.155000	    0.927454	    0.927454
         0.160000	    0.924024	    0.924024
         0.165000	    0.920551	    0.920551
         0.170000	    0.917037	    0.917037
         0.175000	    0.913483	    0.913483
         0.180000	    0.909892	    0.909892
         0.185000	    0.906267	    0.906267
         0.190000	    0.902608	    0.902608
         0.195000	    0.898918	    0.898918
         0.200000	    0.895198	    0.895198
         0.205000	    0.891451	    0.891451
         0.210000	    0.887678	    0.887678
         0.215000	    0.883881	    0.883881
         0.220000	    0.880062	    0.880062
         0.225000	    0.876222	    0.876222
         0.230000	    0.872363	    0.872363
         0.235000	    0.868487	    0.868487
         0.240000	    0.864595	    0.864595
         0.245000	    0.860689	    0.860689
         0.250000	    0.856770	    0.856770
         0.255000	    0.852839	    0.852839
         0.260000	    0.848900	    0.848900
         0.265000	    0.844952	    0.844952
         0.270000	    0.840999	    0.840999
         0.275000	    0.837039	    0.837039
         0.280000	    0.833075	    0.833075
         0.285000	    0.829108	    0.829108
         0.290000	    0.825139	    0.825139
         0.295000	    0.821169	    0.821169
         0.300000	    0.817199	    0.817199
         0.305000	    0.813231	    0.813231
         0.310000	    0.809266	    0.809266
         0.315000	    0.805304	    0.805304
         0.320000	    0.801347	    0.801347
         0.325000	    0.797395	    0.797395
         0.330000	    0.793450	    0.793450
         0.335000	    0.789512	    0.789512
         0.340000	    0.785583	    0.785583
         0.345000	    0.781663	    0.781663
         0.350000	    0.777753	    0.777753
         0.355000	    0.773854	    0.773854
         0.360000	    0.769967	    0.769967
         0.365000	    0.766092	    0.766092
         0.370000	    0.762230	    0.762230
         0.375000	    0.758383	    0.758383
         0.380000	    0.754549	    0.754549
         0.385000	    0.750731	    0.750731
         0.390000	    0.746928	    0.746928
         0.395000	    0.743142	    0.743142
         0.400000	    0.739372	    0.739372
         0.405000	    0.735620	    0.735620
         0.410000	    0.731886	    0.731886
         0.415000	    0.728170	    0.728170
         0.420000	    0.724473	    0.724473
         0.425000	    0.720795	    0.720795
         0.430000	    0.717137	    0.717137
         0.435000	    0.713499	    0.713499
         0.440000	    0.709881	    0.709881
         0.445000	    0.706284	    0.706284
         0.450000	    0.702709	    0.702709
         0.455000	    0.699154	    0.699154
         0.460000	    0.695622	    0.695622
         0.465000	    0.692111	    0.692111
         0.470000	    0.688623	    0.688623
         0.475000	    0.685158	    0.685158
         0.480000	    0.681715	    0.681715
         0.485000	    0.678295	    0.678295
         0.490000	    0.674898	    0.674898
         0.495000	    0.671525	    0.671525
         0.500000	    0.668175	    0.668175
         0.505000	    0.664848	    0.664848
         0.510000	    0.661546	    0.661546
         0.515000	    0.658267	    0.658267
         0.520000	    0.655014	    0.655014
         0.525000	    0.651785	    0.651785
         0.530000	    0.648580	    0.648580
         0.535000	    0.645400	    0.645400
         0.540000	    0.642243	    0.642243
         0.545000	    0.639111	    0.639111
         0.550000	    0.636004	    0.636004
         0.555000	    0.632920	    0.632920
         0.560000	    0.629861	    0.629861
         0.565000	    0.626827	    0.626827
         0.570000	    0.623816	    0.623816
         0.575000	    0.620831	    0.620831
         0.580000	    0.617869	    0.617869
         0.585000	    0.614932	    0.614932
         0.590000	    0.612018	    0.612018
         0.595000	    0.609129	    0.609129
         0.600000	    0.606265	    0.606265
         0.605000	    0.603424	    0.603424
         0.610000	    0.600607	    0.600607
         0.615000	    0.597814	    0.597814
         0.620000	    0.595045	    0.595045
         0.625000	    0.592299	    0.592299
         0.630000	    0.589578	    0.589578
         0.635000	    0.586879	    0.586879
         0.640000	    0.584204	    0.584204
         0.645000	    0.581553	    0.581553
         0.650000	    0.578924	    0.578924
         0.655000	    0.576318	    0.576318
         0.660000	    0.573736	    0.573736
         0.665000	    0.571176	    0.571176
         0.670000	    0.568639	    0.568639
         0.675000	    0.566124	    0.566124
         0.680000	    0.563632	    0.563632
         0.685000	    0.561162	    0.561162
         0.690000	    0.558715	    0.558715
         0.695000	    0.556291	    0.556291
         0.700000	    0.553888	    0.553888
         0.705000	    0.551506	    0.551506
         0.710000	    0.549147	    0.549147
         0.715000	    0.546808	    0.546808
         0.720000	    0.544490	    0.544490
         0.725000	    0.542194	    0.542194
         0.730000	    0.539918	    0.539918
         0.735000	    0.537662	    0.537662
         0.740000	    0.535427	    0.535427
         0.745000	    0.533213	    0.533213
         0.750000	    0.531018	    0.531018
         0.755000	    0.528843	    0.528843
         0.760000	    0.526688	    0.526688
         0.765000	    0.524552	    0.524552
         0.770000	    0.522435	    0.522435
         0.775000	    0.520338	    0.520338
         0.780000	    0.518260	    0.518260
         0.785000	    0.516200	    0.516200
         0.790000	    0.514159	    0.514159
         0.795000	    0.512137	    0.512137
         0.800000	    0.510132	    0.510132
         0.805000	    0.508146	    0.508146
         0.810000	    0.506177	    0.506177
         0.815000	    0.504227	    0.504227
         0.820000	    0.502293	    0.502293
         0.825000	    0.500377	    0.500377
         0.830000	    0.498480	    0.498480
         0.835000	    0.496600	    0.496600
         0.840000	    0.494737	    0.494737
         0.845000	    0.492890	    0.492890
         0.850000	    0.491059	    0.491059
         0.855000	    0.489245	    0.489245
         0.860000	    0.487447	    0.487447
         0.865000	    0.485665	    0.485665
         0.870000	    0.483898	    0.483898
         0.875000	    0.482147	    0.482147
         0.880000	    0.480412	    0.480412
         0.885000	    0.478691	    0.478691
         0.890000	    0.476986	    0.476986
         0.895000	    0.475295	    0.475295
         0.900000	    0.473619	    0.473619
         0.905000	    0.471957	    0.471957
         0.910000	    0.470310	    0.470310
         0.915000	    0.468677	    0.468677
         0.920000	    0.467058	    0.467058
         0.925000	    0.465453	    0.465453
         0.930000	    0.463861	    0.463861
         0.935000	    0.462283	    0.462283
         0.940000	    0.460719	    0.460719
         0.945000	    0.459169	    0.459169
         0.950000	    0.457632	    0.457632
         0.955000	    0.456108	    0.456108
         0.960000	    0.454597	    0.454597
         0.965000	    0.453098	    0.453098
         0.970000	    0.451612	    0.451612
         0.975000	    0.450138	    0.450138
         0.980000	    0.448676	    0.448676
         0.985000	    0.447226	    0.447226
         0.990000	    0.445787	    0.445787
         0.995000	    0.444361	    0.444361
         1.000000	    0.442946	    0.442946
         1.005000	    0.441542	    0.441542
         1.010000	    0.440149	    0.440149
         1.015000	    0.438768	    0.438768
         1.020000	    0.437397	    0.437397
         1.025000	    0.436038	    0.436038
         1.030000	    0.434689	    0.434689
         1.035000	    0.433350	    0.433350
         1.040000	    0.432023	    0.432023
         1.045000	    0.430707	    0.430707
         1.050000	    0.429401	    0.429401
         1.055000	    0.428105	    0.428105
         1.060000	    0.426819	    0.426819
         1.065000	    0.425542	    0.425542
         1.070000	    0.424276	    0.424276
         1.075000	    0.423018	    0.423018
         1.080000	    0.421771	    0.421771
         1.085000	    0.420532	    0.420532
         1.090000	    0.419303	    0.419303
         1.095000	    0.418082	    0.418082
         1.100000	    0.416871	    0.416871
         1.105000	    0.415668	    0.415668
         1.110000	    0.414474	    0.414474
         1.115000	    0.413289	    0.413289
         1.120000	    0.412112	    0.412112
         1.125000	    0.410944	    0.410944
         1.130000	    0.409786	    0.409786
         1.135000	    0.408635	    0.408635
         1.140000	    0.407493	    0.407493
         1.145000	    0.406358	    0.406358
         1.150000	    0.405232	    0.405232
         1.155000	    0.404113	    0.404113
         1.160000	    0.403002	    0.403002
         1.165000	    0.401898	    0.401898
         1.170000	    0.400801	    0.400801
         1.175000	    0.399712	    0.399712
         1.180000	    0.398631	    0.398631
         1.185000	    0.397556	    0.397556
         1.190000	    0.396489	    0.396489
         1.195000	    0.395428	    0.395428
         1.200000	    0.394374	    0.394374
         1.205000	    0.393327	    0.393327
         1.210000	    0.392288	    0.392288
         1.215000	    0.391257	    0.391257
         1.220000	    0.390231	    0.390231
         1.225000	    0.389213	    0.389213
         1.230000	    0.388200	    0.388200
         1.235000	    0.387194	    0.387194
         1.240000	    0.386194	    0.386194
         1.245000	    0.385200	    0.385200
         1.250000	    0.384212	    0.384212
         1.255000	    0.383230	    0.383230
         1.260000	    0.382255	    0.382255
         1.265000	    0.381284	    0.381284
         1.270000	    0.380320	    0.380320
         1.275000	    0.379361	    0.379361
         1.280000	    0.378408	    0.378408
         1.285000	    0.377460	    0.377460
         1.290000	    0.376518	    0.376518
         1.295000	    0.375583	    0.375583
         1.300000	    0.374653	    0.374653
         1.305000	    0.373729	    0.373729
         1.310000	    0.372810	    0.372810
         1.315000	    0.371896	    0.371896
         1.320000	    0.370987	    0.370987
         1.325000	    0.370083	    0.370083
         1.330000	    0.369183	    0.369183
         1.335000	    0.368289	    0.368289
         1.340000	    0.367400	    0.367400
         1.345000	    0.366515	    0.366515
         1.350000	    0.365635	    0.365635
         1.355000	    0.364760	    0.364760
         1.360000	    0.363889	    0.363889
         1.365000	    0.363024	    0.363024
         1.370000	    0.362164	    0.362164
         1.375000	    0.361308	    0.361308
         1.380000	    0.360457	    0.360457
         1.385000	    0.359610	    0.359610
         1.390000	    0.358767	    0.358767
         1.395000	    0.357929	    0.357929
         1.400000	    0.357094	    0.357094
         1.405000	    0.356264	    0.356264
         1.410000	    0.355438	    0.355438
         1.415000	    0.354616	    0.354616
         1.420000	    0.353797	    0.353797
         1.425000	    0.352983	    0.352983
         1.430000	    0.352172	    0.352172
         1.435000	    0.351366	    0.351366
         1.440000	    0.350565	    0.350565
         1.445000	    0.349768	    0.349768
         1.450000	    0.348974	    0.348974
         1.455000	    0.348184	    0.348184
         1.460000	    0.347397	    0.347397
         1.465000	    0.346614	    0.346614
         1.470000	    0.345835	    0.345835
         1.475000	    0.345059	    0.345059
         1.480000	    0.344286	    0.344286
         1.485000	    0.343517	    0.343517
         1.490000	    0.342751	    0.342751
         1.495000	    0.341988	    0.341988
         1.500000	    0.341228	    0.341228
         1.505000	    0.340473	    0.340473
         1.510000	    0.339722	    0.339722
         1.515000	    0.338974	    0.338974
         1.520000	    0.338229	    0.338229
         1.525000	    0.337487	    0.337487
         1.530000	    0.336748	    0.336748
         1.535000	    0.336012	    0.336012
         1.540000	    0.335279	    0.335279
         1.545000	    0.334549	    0.334549
         1.550000	    0.333822	    0.333822
         1.555000	    0.333098	    0.333098
         1.560000	    0.332377	    0.332377
         1.565000	    0.331658	    0.331658
         1.570000	    0.330942	    0.330942
         1.575000	    0.330230	    0.330230
         1.580000	    0.329521	    0.329521
         1.585000	    0.328816	    0.328816
         1.590000	    0.328113	    0.328113
         1.595000	    0.327412	    0.327412
         1.600000	    0.326714	    0.326714
         1.605000	    0.326019	    0.326019
         1.610000	    0.325326	    0.325326
         1.615000	    0.324635	    0.324635
         1.620000	    0.323947	    0.323947
         1.625000	    0.323262	    0.323262
         1.630000	    0.322579	    0.322579
         1.635000	    0.321900	    0.321900
         1.640000	    0.321224	    0.321224
         1.645000	    0.320549	    0.320549
         1.650000	    0.319877	    0.319877
         1.655000	    0.319208	    0.319208
         1.660000	    0.318541	    0.318541
         1.665000	    0.317876	    0.317876
         1.670000	    0.317213	    0.317213
         1.675000	    0.316552	    0.316552
         1.680000	    0.315894	    0.315894
         1.685000	    0.315237	    0.315237
         1.690000	    0.314584	    0.314584
         1.695000	    0.313934	    0.313934
         1.700000	    0.313286	    0.313286
         1.705000	    0.312639	    0.312639
         1.710000	    0.311995	    0.311995
         1.715000	    0.311353	    0.311353
         1.720000	    0.310713	    0.310713
         1.725000	    0.310075	    0.310075
         1.730000	    0.309438	    0.309438
         1.735000	    0.308804	    0.308804
         1.740000	    0.308171	    0.308171
         1.745000	    0.307541	    0.307541
         1.750000	    0.306914	    0.306914
         1.755000	    0.306290	    0.306290
         1.760000	    0.305666	    0.305666
         1.765000	    0.305045	    0.305045
         1.770000	    0.304425	    0.304425
         1.775000	    0.303807	    0.303807
         1.780000	    0.303191	    0.303191
         1.785000	    0.302576	    0.302576
