Diffraction MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/16/2018


Data for 0.6328 µm.
Surface: Image (RETINA)
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.002000	    0.999639	    0.999639
         0.004000	    0.999275	    0.999275
         0.006000	    0.998903	    0.998903
         0.008000	    0.998524	    0.998524
         0.010000	    0.998141	    0.998141
         0.012000	    0.997751	    0.997751
         0.014000	    0.997355	    0.997355
         0.016000	    0.996954	    0.996954
         0.018000	    0.996547	    0.996547
         0.020000	    0.996134	    0.996134
         0.022000	    0.995715	    0.995715
         0.024000	    0.995291	    0.995291
         0.026000	    0.994861	    0.994861
         0.028000	    0.994425	    0.994425
         0.030000	    0.993984	    0.993984
         0.032000	    0.993538	    0.993538
         0.034000	    0.993086	    0.993086
         0.036000	    0.992629	    0.992629
         0.038000	    0.992167	    0.992167
         0.040000	    0.991699	    0.991699
         0.042000	    0.991226	    0.991226
         0.044000	    0.990747	    0.990747
         0.046000	    0.990264	    0.990264
         0.048000	    0.989775	    0.989775
         0.050000	    0.989282	    0.989282
         0.052000	    0.988783	    0.988783
         0.054000	    0.988279	    0.988279
         0.056000	    0.987771	    0.987771
         0.058000	    0.987257	    0.987257
         0.060000	    0.986739	    0.986739
         0.062000	    0.986215	    0.986215
         0.064000	    0.985687	    0.985687
         0.066000	    0.985154	    0.985154
         0.068000	    0.984617	    0.984617
         0.070000	    0.984075	    0.984075
         0.072000	    0.983528	    0.983528
         0.074000	    0.982976	    0.982976
         0.076000	    0.982420	    0.982420
         0.078000	    0.981859	    0.981859
         0.080000	    0.981294	    0.981294
         0.082000	    0.980725	    0.980725
         0.084000	    0.980151	    0.980151
         0.086000	    0.979572	    0.979572
         0.088000	    0.978990	    0.978990
         0.090000	    0.978403	    0.978403
         0.092000	    0.977811	    0.977811
         0.094000	    0.977216	    0.977216
         0.096000	    0.976616	    0.976616
         0.098000	    0.976012	    0.976012
         0.100000	    0.975404	    0.975404
         0.102000	    0.974792	    0.974792
         0.104000	    0.974176	    0.974176
         0.106000	    0.973555	    0.973555
         0.108000	    0.972931	    0.972931
         0.110000	    0.972303	    0.972303
         0.112000	    0.971671	    0.971671
         0.114000	    0.971035	    0.971035
         0.116000	    0.970395	    0.970395
         0.118000	    0.969751	    0.969751
         0.120000	    0.969104	    0.969104
         0.122000	    0.968453	    0.968453
         0.124000	    0.967798	    0.967798
         0.126000	    0.967139	    0.967139
         0.128000	    0.966476	    0.966476
         0.130000	    0.965810	    0.965810
         0.132000	    0.965141	    0.965141
         0.134000	    0.964468	    0.964468
         0.136000	    0.963791	    0.963791
         0.138000	    0.963111	    0.963111
         0.140000	    0.962427	    0.962427
         0.142000	    0.961740	    0.961740
         0.144000	    0.961049	    0.961049
         0.146000	    0.960355	    0.960355
         0.148000	    0.959658	    0.959658
         0.150000	    0.958957	    0.958957
         0.152000	    0.958253	    0.958253
         0.154000	    0.957546	    0.957546
         0.156000	    0.956835	    0.956835
         0.158000	    0.956122	    0.956122
         0.160000	    0.955405	    0.955405
         0.162000	    0.954685	    0.954685
         0.164000	    0.953961	    0.953961
         0.166000	    0.953235	    0.953235
         0.168000	    0.952506	    0.952506
         0.170000	    0.951773	    0.951773
         0.172000	    0.951038	    0.951038
         0.174000	    0.950299	    0.950299
         0.176000	    0.949557	    0.949557
         0.178000	    0.948813	    0.948813
         0.180000	    0.948066	    0.948066
         0.182000	    0.947315	    0.947315
         0.184000	    0.946562	    0.946562
         0.186000	    0.945806	    0.945806
         0.188000	    0.945047	    0.945047
         0.190000	    0.944286	    0.944286
         0.192000	    0.943521	    0.943521
         0.194000	    0.942754	    0.942754
         0.196000	    0.941984	    0.941984
         0.198000	    0.941212	    0.941212
         0.200000	    0.940436	    0.940436
         0.202000	    0.939658	    0.939658
         0.204000	    0.938878	    0.938878
         0.206000	    0.938095	    0.938095
         0.208000	    0.937309	    0.937309
         0.210000	    0.936521	    0.936521
         0.212000	    0.935730	    0.935730
         0.214000	    0.934936	    0.934936
         0.216000	    0.934140	    0.934140
         0.218000	    0.933342	    0.933342
         0.220000	    0.932541	    0.932541
         0.222000	    0.931738	    0.931738
         0.224000	    0.930932	    0.930932
         0.226000	    0.930124	    0.930124
         0.228000	    0.929314	    0.929314
         0.230000	    0.928501	    0.928501
         0.232000	    0.927686	    0.927686
         0.234000	    0.926868	    0.926868
         0.236000	    0.926049	    0.926049
         0.238000	    0.925227	    0.925227
         0.240000	    0.924403	    0.924403
         0.242000	    0.923576	    0.923576
         0.244000	    0.922747	    0.922747
         0.246000	    0.921917	    0.921917
         0.248000	    0.921084	    0.921084
         0.250000	    0.920248	    0.920248
         0.252000	    0.919411	    0.919411
         0.254000	    0.918572	    0.918572
         0.256000	    0.917730	    0.917730
         0.258000	    0.916887	    0.916887
         0.260000	    0.916041	    0.916041
         0.262000	    0.915193	    0.915193
         0.264000	    0.914344	    0.914344
         0.266000	    0.913492	    0.913492
         0.268000	    0.912639	    0.912639
         0.270000	    0.911784	    0.911784
         0.272000	    0.910927	    0.910927
         0.274000	    0.910067	    0.910067
         0.276000	    0.909206	    0.909206
         0.278000	    0.908343	    0.908343
         0.280000	    0.907478	    0.907478
         0.282000	    0.906612	    0.906612
         0.284000	    0.905743	    0.905743
         0.286000	    0.904873	    0.904873
         0.288000	    0.904000	    0.904000
         0.290000	    0.903126	    0.903126
         0.292000	    0.902251	    0.902251
         0.294000	    0.901373	    0.901373
         0.296000	    0.900494	    0.900494
         0.298000	    0.899613	    0.899613
         0.300000	    0.898730	    0.898730
         0.302000	    0.897845	    0.897845
         0.304000	    0.896959	    0.896959
         0.306000	    0.896071	    0.896071
         0.308000	    0.895182	    0.895182
         0.310000	    0.894290	    0.894290
         0.312000	    0.893398	    0.893398
         0.314000	    0.892503	    0.892503
         0.316000	    0.891607	    0.891607
         0.318000	    0.890710	    0.890710
         0.320000	    0.889810	    0.889810
         0.322000	    0.888910	    0.888910
         0.324000	    0.888007	    0.888007
         0.326000	    0.887103	    0.887103
         0.328000	    0.886198	    0.886198
         0.330000	    0.885291	    0.885291
         0.332000	    0.884383	    0.884383
         0.334000	    0.883473	    0.883473
         0.336000	    0.882562	    0.882562
         0.338000	    0.881649	    0.881649
         0.340000	    0.880735	    0.880735
         0.342000	    0.879819	    0.879819
         0.344000	    0.878902	    0.878902
         0.346000	    0.877983	    0.877983
         0.348000	    0.877063	    0.877063
         0.350000	    0.876142	    0.876142
         0.352000	    0.875220	    0.875220
         0.354000	    0.874296	    0.874296
         0.356000	    0.873370	    0.873370
         0.358000	    0.872444	    0.872444
         0.360000	    0.871516	    0.871516
         0.362000	    0.870586	    0.870586
         0.364000	    0.869656	    0.869656
         0.366000	    0.868724	    0.868724
         0.368000	    0.867791	    0.867791
