Polychromatic Geometric MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/15/2018


Data for 0.6328 µm.
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.100000	    0.957566	    0.957566
         0.200000	    0.881041	    0.881041
         0.300000	    0.775506	    0.775506
         0.400000	    0.664662	    0.664662
         0.500000	    0.563328	    0.563328
         0.600000	    0.483008	    0.483008
         0.700000	    0.427972	    0.427972
         0.800000	    0.395619	    0.395619
         0.900000	    0.378788	    0.378788
         1.000000	    0.368743	    0.368743
         1.100000	    0.358354	    0.358354
         1.200000	    0.343662	    0.343662
         1.300000	    0.324262	    0.324262
         1.400000	    0.302472	    0.302472
         1.500000	    0.281474	    0.281474
         1.600000	    0.263797	    0.263797
         1.700000	    0.250413	    0.250413
         1.800000	    0.240513	    0.240513
         1.900000	    0.232243	    0.232243
         2.000000	    0.223672	    0.223672
         2.100000	    0.213543	    0.213543
         2.200000	    0.201729	    0.201729
         2.300000	    0.189055	    0.189055
         2.400000	    0.176725	    0.176725
         2.500000	    0.165769	    0.165769
         2.600000	    0.156590	    0.156590
         2.700000	    0.148869	    0.148869
         2.800000	    0.141855	    0.141855
         2.900000	    0.134732	    0.134732
         3.000000	    0.126991	    0.126991
         3.100000	    0.118631	    0.118631
         3.200000	    0.110049	    0.110049
         3.300000	    0.101814	    0.101814
         3.400000	    0.094395	    0.094395
         3.500000	    0.087940	    0.087940
         3.600000	    0.082276	    0.082276
         3.700000	    0.077028	    0.077028
         3.800000	    0.071807	    0.071807
         3.900000	    0.066401	    0.066401
         4.000000	    0.060835	    0.060835
         4.100000	    0.055321	    0.055321
         4.200000	    0.050141	    0.050141
         4.300000	    0.045499	    0.045499
         4.400000	    0.041439	    0.041439
         4.500000	    0.037855	    0.037855
         4.600000	    0.034548	    0.034548
         4.700000	    0.031336	    0.031336
         4.800000	    0.028133	    0.028133
         4.900000	    0.024963	    0.024963
         5.000000	    0.021936	    0.021936
         5.100000	    0.019176	    0.019176
         5.200000	    0.016758	    0.016758
         5.300000	    0.014680	    0.014680
         5.400000	    0.012875	    0.012875
         5.500000	    0.011246	    0.011246
         5.600000	    0.009715	    0.009715
         5.700000	    0.008254	    0.008254
         5.800000	    0.006879	    0.006879
         5.900000	    0.005634	    0.005634
         6.000000	    0.004559	    0.004559
         6.100000	    0.003666	    0.003666
         6.200000	    0.002939	    0.002939
         6.300000	    0.002339	    0.002339
         6.400000	    0.001828	    0.001828
         6.500000	    0.001382	    0.001382
         6.600000	    0.000995	    0.000995
         6.700000	    0.000672	    0.000672
         6.800000	    0.000420	    0.000420
         6.900000	    0.000239	    0.000239
         7.000000	    0.000117	    0.000117
         7.100000	    0.000040	    0.000040
         7.200000	    0.000006	    0.000006
         7.300000	   -0.000001	   -0.000001
         7.400000	   -0.000000	   -0.000000
         7.500000	    0.000000	    0.000000
         7.600000	   -0.000000	   -0.000000
         7.700000	    0.000000	    0.000000
         7.800000	    0.000000	    0.000000

