Polychromatic Geometric MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/16/2018


Data for 0.6328 µm.
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.100000	    0.974404	    0.974404
         0.200000	    0.935824	    0.935824
         0.300000	    0.884008	    0.884008
         0.400000	    0.822704	    0.822704
         0.500000	    0.754039	    0.754039
         0.600000	    0.680954	    0.680954
         0.700000	    0.606166	    0.606166
         0.800000	    0.532153	    0.532153
         0.900000	    0.461029	    0.461029
         1.000000	    0.394429	    0.394429
         1.100000	    0.333482	    0.333482
         1.200000	    0.278811	    0.278811
         1.300000	    0.230588	    0.230588
         1.400000	    0.188624	    0.188624
         1.500000	    0.152472	    0.152472
         1.600000	    0.121532	    0.121532
         1.700000	    0.095155	    0.095155
         1.800000	    0.072729	    0.072729
         1.900000	    0.053747	    0.053747
         2.000000	    0.037792	    0.037792
         2.100000	    0.024631	    0.024631
         2.200000	    0.014166	    0.014166
         2.300000	    0.005781	    0.005781
         2.400000	    0.001764	    0.001764
         2.500000	    0.002312	    0.002312
         2.600000	    0.003303	    0.003303
         2.700000	    0.001764	    0.001764
         2.800000	    0.001777	    0.001777
         2.900000	    0.005407	    0.005407
         3.000000	    0.011168	    0.011168
         3.100000	    0.017164	    0.017164
         3.200000	    0.023280	    0.023280
         3.300000	    0.029041	    0.029041
         3.400000	    0.034074	    0.034074
         3.500000	    0.038124	    0.038124
         3.600000	    0.041014	    0.041014
         3.700000	    0.042678	    0.042678
         3.800000	    0.043139	    0.043139
         3.900000	    0.042500	    0.042500
         4.000000	    0.040914	    0.040914
         4.100000	    0.038566	    0.038566
         4.200000	    0.035654	    0.035654
         4.300000	    0.032367	    0.032367
         4.400000	    0.028873	    0.028873
         4.500000	    0.025314	    0.025314
         4.600000	    0.021800	    0.021800
         4.700000	    0.018418	    0.018418
         4.800000	    0.015229	    0.015229
         4.900000	    0.012278	    0.012278
         5.000000	    0.009600	    0.009600
         5.100000	    0.007220	    0.007220
         5.200000	    0.005158	    0.005158
         5.300000	    0.003427	    0.003427
         5.400000	    0.002044	    0.002044
         5.500000	    0.000965	    0.000965
         5.600000	    0.000299	    0.000299
         5.700000	    0.000167	    0.000167
         5.800000	    0.000355	    0.000355
         5.900000	    0.000371	    0.000371
         6.000000	    0.000126	    0.000126
         6.100000	    0.000064	    0.000064
         6.200000	    0.000366	    0.000366
         6.300000	    0.000628	    0.000628
         6.400000	    0.000831	    0.000831
         6.500000	    0.000952	    0.000952
         6.600000	    0.000976	    0.000976
         6.700000	    0.000907	    0.000907
         6.800000	    0.000761	    0.000761
         6.900000	    0.000560	    0.000560
         7.000000	    0.000340	    0.000340
         7.100000	    0.000131	    0.000131
         7.200000	    0.000004	    0.000004
         7.300000	    0.000000	    0.000000

