Polychromatic Geometric MTF

File : C:\Users\Trisha\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/16/2018


Data for 0.6328 µm.
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.100000	    0.991937	    0.991937
         0.200000	    0.970090	    0.970090
         0.300000	    0.933474	    0.933474
         0.400000	    0.885231	    0.885231
         0.500000	    0.827040	    0.827040
         0.600000	    0.761595	    0.761595
         0.700000	    0.691559	    0.691559
         0.800000	    0.619540	    0.619540
         0.900000	    0.547928	    0.547928
         1.000000	    0.478740	    0.478740
         1.100000	    0.413539	    0.413539
         1.200000	    0.353386	    0.353386
         1.300000	    0.298856	    0.298856
         1.400000	    0.250094	    0.250094
         1.500000	    0.206908	    0.206908
         1.600000	    0.168875	    0.168875
         1.700000	    0.135462	    0.135462
         1.800000	    0.106125	    0.106125
         1.900000	    0.080432	    0.080432
         2.000000	    0.058029	    0.058029
         2.100000	    0.038831	    0.038831
         2.200000	    0.022950	    0.022950
         2.300000	    0.009610	    0.009610
         2.400000	    0.003029	    0.003029
         2.500000	    0.004082	    0.004082
         2.600000	    0.005995	    0.005995
         2.700000	    0.003290	    0.003290
         2.800000	    0.003431	    0.003431
         2.900000	    0.010784	    0.010784
         3.000000	    0.022988	    0.022988
         3.100000	    0.036545	    0.036545
         3.200000	    0.051301	    0.051301
         3.300000	    0.066299	    0.066299
         3.400000	    0.080671	    0.080671
         3.500000	    0.093699	    0.093699
         3.600000	    0.104760	    0.104760
         3.700000	    0.113424	    0.113424
         3.800000	    0.119440	    0.119440
         3.900000	    0.122745	    0.122745
         4.000000	    0.123431	    0.123431
         4.100000	    0.121716	    0.121716
         4.200000	    0.117901	    0.117901
         4.300000	    0.112331	    0.112331
         4.400000	    0.105356	    0.105356
         4.500000	    0.097301	    0.097301
         4.600000	    0.088454	    0.088454
         4.700000	    0.079060	    0.079060
         4.800000	    0.069324	    0.069324
         4.900000	    0.059427	    0.059427
         5.000000	    0.049542	    0.049542
         5.100000	    0.039853	    0.039853
         5.200000	    0.030555	    0.030555
         5.300000	    0.021870	    0.021870
         5.400000	    0.014116	    0.014116
         5.500000	    0.007228	    0.007228
         5.600000	    0.002452	    0.002452
         5.700000	    0.001505	    0.001505
         5.800000	    0.003540	    0.003540
         5.900000	    0.004147	    0.004147
         6.000000	    0.001479	    0.001479
         6.100000	    0.000992	    0.000992
         6.200000	    0.005944	    0.005944
         6.300000	    0.011940	    0.011940
         6.400000	    0.018815	    0.018815
         6.500000	    0.026231	    0.026231
         6.600000	    0.033734	    0.033734
         6.700000	    0.041001	    0.041001
         6.800000	    0.047701	    0.047701
         6.900000	    0.053583	    0.053583
         7.000000	    0.058450	    0.058450
         7.100000	    0.062224	    0.062224
         7.200000	    0.064750	    0.064750
         7.300000	    0.066181	    0.066181

