Polychromatic Geometric MTF

File : C:\Users\tlian\Desktop\Arizona_Trisha_scene2retina.ZMX
Title: 
Date : 1/10/2019


Data for 0.4700 to 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.914943	    0.914943
        10.000000	    0.741787	    0.741787
        15.000000	    0.546083	    0.546083
        20.000000	    0.398486	    0.398486
        25.000000	    0.307498	    0.307498
        30.000000	    0.256896	    0.256896
        35.000000	    0.225739	    0.225739
        40.000000	    0.202369	    0.202369
        45.000000	    0.182273	    0.182273
        50.000000	    0.164696	    0.164696
        55.000000	    0.149663	    0.149663
        60.000000	    0.136834	    0.136834
        65.000000	    0.126366	    0.126366
        70.000000	    0.119320	    0.119320
        75.000000	    0.114684	    0.114684
        80.000000	    0.108695	    0.108695
        85.000000	    0.099251	    0.099251
        90.000000	    0.088865	    0.088865
        95.000000	    0.082064	    0.082064
       100.000000	    0.079854	    0.079854
       105.000000	    0.079030	    0.079030
       110.000000	    0.076499	    0.076499
       115.000000	    0.071761	    0.071761
       120.000000	    0.066285	    0.066285
       125.000000	    0.061651	    0.061651
       130.000000	    0.058386	    0.058386
       135.000000	    0.055952	    0.055952
       140.000000	    0.053674	    0.053674
       145.000000	    0.051416	    0.051416
       150.000000	    0.049228	    0.049228
       155.000000	    0.046917	    0.046917
       160.000000	    0.044358	    0.044358
       165.000000	    0.042071	    0.042071
       170.000000	    0.040542	    0.040542
       175.000000	    0.039263	    0.039263
       180.000000	    0.037342	    0.037342
       185.000000	    0.034666	    0.034666
       190.000000	    0.032113	    0.032113
       195.000000	    0.030510	    0.030510
       200.000000	    0.029762	    0.029762
       205.000000	    0.029165	    0.029165
       210.000000	    0.028100	    0.028100
       215.000000	    0.026494	    0.026494
       220.000000	    0.024757	    0.024757
       225.000000	    0.023317	    0.023317
       230.000000	    0.022187	    0.022187
       235.000000	    0.021157	    0.021157
       240.000000	    0.020182	    0.020182
       245.000000	    0.019304	    0.019304
       250.000000	    0.018423	    0.018423
       255.000000	    0.017382	    0.017382
       260.000000	    0.016296	    0.016296
       265.000000	    0.015452	    0.015452
       270.000000	    0.014868	    0.014868
       275.000000	    0.014276	    0.014276
       280.000000	    0.013450	    0.013450
       285.000000	    0.012457	    0.012457
       290.000000	    0.011561	    0.011561
       295.000000	    0.010951	    0.010951
       300.000000	    0.010567	    0.010567
       305.000000	    0.010169	    0.010169
       310.000000	    0.009582	    0.009582
       315.000000	    0.008863	    0.008863
       320.000000	    0.008194	    0.008194
       325.000000	    0.007636	    0.007636
       330.000000	    0.007128	    0.007128
       335.000000	    0.006655	    0.006655
       340.000000	    0.006245	    0.006245
       345.000000	    0.005865	    0.005865
       350.000000	    0.005441	    0.005441

