Polychromatic Geometric MTF

File : C:\Users\tlian\Desktop\Arizona_Trisha_scene2retina.ZMX
Title: 
Date : 1/10/2019


Data for 0.4700 to 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.926942	    0.926942
        10.000000	    0.761585	    0.761585
        15.000000	    0.568704	    0.568704
        20.000000	    0.421111	    0.421111
        25.000000	    0.329805	    0.329805
        30.000000	    0.279610	    0.279610
        35.000000	    0.249390	    0.249390
        40.000000	    0.227022	    0.227022
        45.000000	    0.207728	    0.207728
        50.000000	    0.190754	    0.190754
        55.000000	    0.176219	    0.176219
        60.000000	    0.163864	    0.163864
        65.000000	    0.153999	    0.153999
        70.000000	    0.147971	    0.147971
        75.000000	    0.144635	    0.144635
        80.000000	    0.139427	    0.139427
        85.000000	    0.129682	    0.129682
        90.000000	    0.118467	    0.118467
        95.000000	    0.111583	    0.111583
       100.000000	    0.110570	    0.110570
       105.000000	    0.111417	    0.111417
       110.000000	    0.109950	    0.109950
       115.000000	    0.105307	    0.105307
       120.000000	    0.099382	    0.099382
       125.000000	    0.094415	    0.094415
       130.000000	    0.091278	    0.091278
       135.000000	    0.089312	    0.089312
       140.000000	    0.087560	    0.087560
       145.000000	    0.085786	    0.085786
       150.000000	    0.084015	    0.084015
       155.000000	    0.081947	    0.081947
       160.000000	    0.079409	    0.079409
       165.000000	    0.077229	    0.077229
       170.000000	    0.076189	    0.076189
       175.000000	    0.075458	    0.075458
       180.000000	    0.073525	    0.073525
       185.000000	    0.070161	    0.070161
       190.000000	    0.066903	    0.066903
       195.000000	    0.065320	    0.065320
       200.000000	    0.065361	    0.065361
       205.000000	    0.065722	    0.065722
       210.000000	    0.065134	    0.065134
       215.000000	    0.063341	    0.063341
       220.000000	    0.061109	    0.061109
       225.000000	    0.059345	    0.059345
       230.000000	    0.058179	    0.058179
       235.000000	    0.057243	    0.057243
       240.000000	    0.056426	    0.056426
       245.000000	    0.055764	    0.055764
       250.000000	    0.055013	    0.055013
       255.000000	    0.053830	    0.053830
       260.000000	    0.052496	    0.052496
       265.000000	    0.051708	    0.051708
       270.000000	    0.051530	    0.051530
       275.000000	    0.051273	    0.051273
       280.000000	    0.050306	    0.050306
       285.000000	    0.048782	    0.048782
       290.000000	    0.047481	    0.047481
       295.000000	    0.047040	    0.047040
       300.000000	    0.047327	    0.047327
       305.000000	    0.047573	    0.047573
       310.000000	    0.047136	    0.047136
       315.000000	    0.046097	    0.046097
       320.000000	    0.045046	    0.045046
       325.000000	    0.044304	    0.044304
       330.000000	    0.043791	    0.043791
       335.000000	    0.043482	    0.043482
       340.000000	    0.043438	    0.043438
       345.000000	    0.043460	    0.043460
       350.000000	    0.043237	    0.043237

