Polychromatic Geometric MTF

File : C:\Users\tlian\Documents\Zemax\Samples\LeGrand_Trisha_scene2retina.ZMX
Title: 
Date : 1/9/2019


Data for 0.4700 to 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.640257	    0.640257
        10.000000	    0.337961	    0.337961
        15.000000	    0.231406	    0.231406
        20.000000	    0.208093	    0.208093
        25.000000	    0.156754	    0.156754
        30.000000	    0.141979	    0.141979
        35.000000	    0.122342	    0.122342
        40.000000	    0.108541	    0.108541
        45.000000	    0.098062	    0.098062
        50.000000	    0.088951	    0.088951
        55.000000	    0.081554	    0.081554
        60.000000	    0.074737	    0.074737
        65.000000	    0.069748	    0.069748
        70.000000	    0.064450	    0.064450
        75.000000	    0.060307	    0.060307
        80.000000	    0.056635	    0.056635
        85.000000	    0.052972	    0.052972
        90.000000	    0.050006	    0.050006
        95.000000	    0.047343	    0.047343
       100.000000	    0.044348	    0.044348
       105.000000	    0.042509	    0.042509
       110.000000	    0.039992	    0.039992
       115.000000	    0.037921	    0.037921
       120.000000	    0.036485	    0.036485
       125.000000	    0.034124	    0.034124
       130.000000	    0.032951	    0.032951
       135.000000	    0.031256	    0.031256
       140.000000	    0.029723	    0.029723
       145.000000	    0.028466	    0.028466
       150.000000	    0.027162	    0.027162
       155.000000	    0.025887	    0.025887
       160.000000	    0.024691	    0.024691
       165.000000	    0.023769	    0.023769
       170.000000	    0.022467	    0.022467
       175.000000	    0.021596	    0.021596
       180.000000	    0.020720	    0.020720
       185.000000	    0.019543	    0.019543
       190.000000	    0.018936	    0.018936
       195.000000	    0.017958	    0.017958
       200.000000	    0.017126	    0.017126
       205.000000	    0.016442	    0.016442
       210.000000	    0.015650	    0.015650
       215.000000	    0.014899	    0.014899
       220.000000	    0.014301	    0.014301
       225.000000	    0.013556	    0.013556
       230.000000	    0.012967	    0.012967
       235.000000	    0.012339	    0.012339
       240.000000	    0.011752	    0.011752
       245.000000	    0.011190	    0.011190
       250.000000	    0.010610	    0.010610
       255.000000	    0.010158	    0.010158
       260.000000	    0.009551	    0.009551
       265.000000	    0.009149	    0.009149
       270.000000	    0.008633	    0.008633
       275.000000	    0.008159	    0.008159
       280.000000	    0.007804	    0.007804
       285.000000	    0.007264	    0.007264
       290.000000	    0.006969	    0.006969
       295.000000	    0.006512	    0.006512
       300.000000	    0.006143	    0.006143
       305.000000	    0.005813	    0.005813
       310.000000	    0.005423	    0.005423
       315.000000	    0.005106	    0.005106
       320.000000	    0.004796	    0.004796
       325.000000	    0.004453	    0.004453
       330.000000	    0.004183	    0.004183
       335.000000	    0.003890	    0.003890
       340.000000	    0.003598	    0.003598
       345.000000	    0.003366	    0.003366
       350.000000	    0.003078	    0.003078

