Polychromatic Geometric MTF

File : C:\Users\tlian\Documents\Zemax\Samples\LeGrand_Trisha_scene2retina.ZMX
Title: 
Date : 1/9/2019


Data for 0.4700 to 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.648494	    0.648494
        10.000000	    0.346837	    0.346837
        15.000000	    0.241129	    0.241129
        20.000000	    0.219375	    0.219375
        25.000000	    0.167895	    0.167895
        30.000000	    0.154156	    0.154156
        35.000000	    0.134837	    0.134837
        40.000000	    0.121456	    0.121456
        45.000000	    0.111388	    0.111388
        50.000000	    0.102666	    0.102666
        55.000000	    0.095607	    0.095607
        60.000000	    0.089046	    0.089046
        65.000000	    0.084500	    0.084500
        70.000000	    0.079367	    0.079367
        75.000000	    0.075565	    0.075565
        80.000000	    0.072196	    0.072196
        85.000000	    0.068717	    0.068717
        90.000000	    0.066059	    0.066059
        95.000000	    0.063678	    0.063678
       100.000000	    0.060769	    0.060769
       105.000000	    0.059368	    0.059368
       110.000000	    0.056915	    0.056915
       115.000000	    0.055058	    0.055058
       120.000000	    0.054014	    0.054014
       125.000000	    0.051566	    0.051566
       130.000000	    0.050825	    0.050825
       135.000000	    0.049229	    0.049229
       140.000000	    0.047828	    0.047828
       145.000000	    0.046809	    0.046809
       150.000000	    0.045669	    0.045669
       155.000000	    0.044511	    0.044511
       160.000000	    0.043450	    0.043450
       165.000000	    0.042809	    0.042809
       170.000000	    0.041442	    0.041442
       175.000000	    0.040826	    0.040826
       180.000000	    0.040134	    0.040134
       185.000000	    0.038851	    0.038851
       190.000000	    0.038600	    0.038600
       195.000000	    0.037606	    0.037606
       200.000000	    0.036827	    0.036827
       205.000000	    0.036346	    0.036346
       210.000000	    0.035581	    0.035581
       215.000000	    0.034850	    0.034850
       220.000000	    0.034456	    0.034456
       225.000000	    0.033646	    0.033646
       230.000000	    0.033188	    0.033188
       235.000000	    0.032590	    0.032590
       240.000000	    0.032048	    0.032048
       245.000000	    0.031533	    0.031533
       250.000000	    0.030947	    0.030947
       255.000000	    0.030622	    0.030622
       260.000000	    0.029887	    0.029887
       265.000000	    0.029652	    0.029652
       270.000000	    0.029051	    0.029051
       275.000000	    0.028567	    0.028567
       280.000000	    0.028358	    0.028358
       285.000000	    0.027567	    0.027567
       290.000000	    0.027518	    0.027518
       295.000000	    0.026886	    0.026886
       300.000000	    0.026510	    0.026510
       305.000000	    0.026249	    0.026249
       310.000000	    0.025722	    0.025722
       315.000000	    0.025394	    0.025394
       320.000000	    0.025137	    0.025137
       325.000000	    0.024605	    0.024605
       330.000000	    0.024393	    0.024393
       335.000000	    0.024047	    0.024047
       340.000000	    0.023623	    0.023623
       345.000000	    0.023435	    0.023435
       350.000000	    0.022997	    0.022997

