Polychromatic Diffraction MTF

File : C:\Users\tlian\Documents\Zemax\Samples\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 7/15/2018


Data for 0.4700 to 0.6500 µm.
Surface: Image (RETINA)
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.050000	    0.972365	    0.972365
         0.100000	    0.927072	    0.927072
         0.150000	    0.858411	    0.858411
         0.200000	    0.782369	    0.782369
         0.250000	    0.709540	    0.709540
         0.300000	    0.643275	    0.643275
         0.350000	    0.585619	    0.585619
         0.400000	    0.537487	    0.537487
         0.450000	    0.497654	    0.497654
         0.500000	    0.464568	    0.464568
         0.550000	    0.436850	    0.436850
         0.600000	    0.413349	    0.413349
         0.650000	    0.393112	    0.393112
         0.700000	    0.375396	    0.375396
         0.750000	    0.359585	    0.359585
         0.800000	    0.345198	    0.345198
         0.850000	    0.331857	    0.331857
         0.900000	    0.319293	    0.319293
         0.950000	    0.307410	    0.307410
         1.000000	    0.296226	    0.296226
         1.050000	    0.285791	    0.285791
         1.100000	    0.276157	    0.276157
         1.150000	    0.267355	    0.267355
         1.200000	    0.259378	    0.259378
         1.250000	    0.252170	    0.252170
         1.300000	    0.245635	    0.245635
         1.350000	    0.239650	    0.239650
         1.400000	    0.234081	    0.234081
         1.450000	    0.228804	    0.228804
         1.500000	    0.223714	    0.223714
         1.550000	    0.218743	    0.218743
         1.600000	    0.213854	    0.213854
         1.650000	    0.209007	    0.209007
         1.700000	    0.204182	    0.204182
         1.750000	    0.199416	    0.199416
         1.800000	    0.194731	    0.194731
         1.850000	    0.190114	    0.190114
         1.900000	    0.185578	    0.185578
         1.950000	    0.181152	    0.181152
         2.000000	    0.176832	    0.176832
         2.050000	    0.172612	    0.172612
         2.100000	    0.168515	    0.168515
         2.150000	    0.164536	    0.164536
         2.200000	    0.160642	    0.160642
         2.250000	    0.156847	    0.156847
         2.300000	    0.153188	    0.153188
         2.350000	    0.149637	    0.149637
         2.400000	    0.146171	    0.146171
         2.450000	    0.142808	    0.142808
         2.500000	    0.139558	    0.139558
         2.550000	    0.136408	    0.136408
         2.600000	    0.133346	    0.133346
         2.650000	    0.130367	    0.130367
         2.700000	    0.127511	    0.127511
         2.750000	    0.124788	    0.124788
         2.800000	    0.122144	    0.122144
         2.850000	    0.119565	    0.119565
         2.900000	    0.117071	    0.117071
         2.950000	    0.114656	    0.114656
         3.000000	    0.112318	    0.112318
         3.050000	    0.110089	    0.110089
         3.100000	    0.107972	    0.107972
         3.150000	    0.105922	    0.105922
         3.200000	    0.103921	    0.103921
         3.250000	    0.101976	    0.101976
         3.300000	    0.100115	    0.100115
         3.350000	    0.098349	    0.098349
         3.400000	    0.096644	    0.096644
         3.450000	    0.094979	    0.094979
         3.500000	    0.093352	    0.093352
         3.550000	    0.091774	    0.091774
         3.600000	    0.090253	    0.090253
         3.650000	    0.088779	    0.088779
         3.700000	    0.087337	    0.087337
         3.750000	    0.085901	    0.085901
         3.800000	    0.084478	    0.084478
         3.850000	    0.083095	    0.083095
         3.900000	    0.081745	    0.081745
         3.950000	    0.080401	    0.080401
         4.000000	    0.079028	    0.079028
         4.050000	    0.077619	    0.077619
         4.100000	    0.076212	    0.076212
         4.150000	    0.074811	    0.074811
         4.200000	    0.073394	    0.073394
         4.250000	    0.071973	    0.071973
         4.300000	    0.070548	    0.070548
         4.350000	    0.069062	    0.069062
         4.400000	    0.067490	    0.067490
         4.450000	    0.065869	    0.065869
         4.500000	    0.064220	    0.064220
         4.550000	    0.062551	    0.062551
         4.600000	    0.060851	    0.060851
         4.650000	    0.059113	    0.059113
         4.700000	    0.057331	    0.057331
         4.750000	    0.055497	    0.055497
         4.800000	    0.053593	    0.053593
         4.850000	    0.051647	    0.051647
         4.900000	    0.049697	    0.049697
         4.950000	    0.047736	    0.047736
         5.000000	    0.045756	    0.045756
         5.050000	    0.043770	    0.043770
         5.100000	    0.041788	    0.041788
         5.150000	    0.039813	    0.039813
         5.200000	    0.037854	    0.037854
         5.250000	    0.035914	    0.035914
         5.300000	    0.033979	    0.033979
         5.350000	    0.032057	    0.032057
         5.400000	    0.030199	    0.030199
         5.450000	    0.028418	    0.028418
         5.500000	    0.026701	    0.026701
         5.550000	    0.025053	    0.025053
         5.600000	    0.023492	    0.023492
         5.650000	    0.022043	    0.022043
         5.700000	    0.020698	    0.020698
         5.750000	    0.019406	    0.019406
         5.800000	    0.018162	    0.018162
         5.850000	    0.016991	    0.016991
         5.900000	    0.015895	    0.015895
         5.950000	    0.014871	    0.014871
         6.000000	    0.013917	    0.013917
         6.050000	    0.013026	    0.013026
         6.100000	    0.012184	    0.012184
         6.150000	    0.011420	    0.011420
         6.200000	    0.010767	    0.010767
