Polychromatic Diffraction MTF

File : C:\Users\tlian\Documents\Zemax\Samples\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 7/15/2018


Data for 0.4700 to 0.6500 µm.
Surface: Image (RETINA)
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.927483	    0.927483
        10.000000	    0.837395	    0.837395
        15.000000	    0.720606	    0.720606
        20.000000	    0.605120	    0.605120
        25.000000	    0.521747	    0.521747
        30.000000	    0.465474	    0.465474
        35.000000	    0.422246	    0.422246
        40.000000	    0.387535	    0.387535
        45.000000	    0.359834	    0.359834
        50.000000	    0.336794	    0.336794
        55.000000	    0.316042	    0.316042
        60.000000	    0.297035	    0.297035
        65.000000	    0.279961	    0.279961
        70.000000	    0.265033	    0.265033
        75.000000	    0.252410	    0.252410
        80.000000	    0.241718	    0.241718
        85.000000	    0.232346	    0.232346
        90.000000	    0.223797	    0.223797
        95.000000	    0.215658	    0.215658
       100.000000	    0.207733	    0.207733
       105.000000	    0.199957	    0.199957
       110.000000	    0.192364	    0.192364
       115.000000	    0.185040	    0.185040
       120.000000	    0.178005	    0.178005
       125.000000	    0.171241	    0.171241
       130.000000	    0.164740	    0.164740
       135.000000	    0.158507	    0.158507
       140.000000	    0.152529	    0.152529
       145.000000	    0.146781	    0.146781
       150.000000	    0.141256	    0.141256
       155.000000	    0.135956	    0.135956
       160.000000	    0.130903	    0.130903
       165.000000	    0.126127	    0.126127
       170.000000	    0.121622	    0.121622
       175.000000	    0.117346	    0.117346
       180.000000	    0.113300	    0.113300
       185.000000	    0.109533	    0.109533
       190.000000	    0.106034	    0.106034
       195.000000	    0.102720	    0.102720
       200.000000	    0.099561	    0.099561
       205.000000	    0.096603	    0.096603
       210.000000	    0.093853	    0.093853
       215.000000	    0.091257	    0.091257
       220.000000	    0.088759	    0.088759
       225.000000	    0.086314	    0.086314
       230.000000	    0.083913	    0.083913
       235.000000	    0.081615	    0.081615
       240.000000	    0.079422	    0.079422
       245.000000	    0.077226	    0.077226
       250.000000	    0.074950	    0.074950
       255.000000	    0.072604	    0.072604
       260.000000	    0.070197	    0.070197
       265.000000	    0.067718	    0.067718
       270.000000	    0.065141	    0.065141
       275.000000	    0.062405	    0.062405
       280.000000	    0.059482	    0.059482
       285.000000	    0.056452	    0.056452
       290.000000	    0.053361	    0.053361
       295.000000	    0.050124	    0.050124
       300.000000	    0.046694	    0.046694
       305.000000	    0.043219	    0.043219
       310.000000	    0.039840	    0.039840
       315.000000	    0.036542	    0.036542
       320.000000	    0.033300	    0.033300
       325.000000	    0.030171	    0.030171
       330.000000	    0.027223	    0.027223
       335.000000	    0.024488	    0.024488
       340.000000	    0.021983	    0.021983
       345.000000	    0.019696	    0.019696
       350.000000	    0.017622	    0.017622
       355.000000	    0.015842	    0.015842
       360.000000	    0.014422	    0.014422
       365.000000	    0.013217	    0.013217
       370.000000	    0.012033	    0.012033
       375.000000	    0.010840	    0.010840
       380.000000	    0.009674	    0.009674
       385.000000	    0.008614	    0.008614
       390.000000	    0.007737	    0.007737
       395.000000	    0.006996	    0.006996
       400.000000	    0.006298	    0.006298
       405.000000	    0.005620	    0.005620
       410.000000	    0.004941	    0.004941
       415.000000	    0.003932	    0.003932
       420.000000	    0.002210	    0.002210
       425.000000	    0.000612	    0.000612
       430.000000	    0.000546	    0.000546
       435.000000	    0.001619	    0.001619
       440.000000	    0.002344	    0.002344
       445.000000	    0.002176	    0.002176
       450.000000	    0.001275	    0.001275
       455.000000	    0.000312	    0.000312
       460.000000	    0.000277	    0.000277
       465.000000	    0.001140	    0.001140
       470.000000	    0.002038	    0.002038
       475.000000	    0.002407	    0.002407
       480.000000	    0.002004	    0.002004
       485.000000	    0.001067	    0.001067
       490.000000	    0.000282	    0.000282
       495.000000	    0.000000	    0.000000
       500.000000	    0.000129	    0.000129
       505.000000	    0.000489	    0.000489
       510.000000	    0.000700	    0.000700
       515.000000	    0.000651	    0.000651
       520.000000	    0.000566	    0.000566
       525.000000	    0.000551	    0.000551
       530.000000	    0.000530	    0.000530
       535.000000	    0.000474	    0.000474
       540.000000	    0.000440	    0.000440
       545.000000	    0.000444	    0.000444
       550.000000	    0.000423	    0.000423
       555.000000	    0.000352	    0.000352
       560.000000	    0.000278	    0.000278
       565.000000	    0.000226	    0.000226
       570.000000	    0.000160	    0.000160
       575.000000	    0.000071	    0.000071
       580.000000	    0.000007	    0.000007
       585.000000	    0.000000	    0.000000
       590.000000	    0.000009	    0.000009
       595.000000	    0.000006	    0.000006
       600.000000	    0.000000	    0.000000
       605.000000	    0.000000	    0.000000
       610.000000	    0.000000	    0.000000
       615.000000	    0.000000	    0.000000
       620.000000	    0.000000	    0.000000
       625.000000	    0.000000	    0.000000
       630.000000	    0.000000	    0.000000
       635.000000	    0.000000	    0.000000
       640.000000	    0.000000	    0.000000

