Polychromatic Geometric MTF

File : C:\Users\Trisha\Documents\Zemax\Samples\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/24/2018


Data for 0.4700 to 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.924070	    0.924070
        10.000000	    0.828201	    0.828201
        15.000000	    0.701815	    0.701815
        20.000000	    0.575790	    0.575790
        25.000000	    0.484658	    0.484658
        30.000000	    0.424601	    0.424601
        35.000000	    0.381392	    0.381392
        40.000000	    0.348046	    0.348046
        45.000000	    0.320443	    0.320443
        50.000000	    0.296964	    0.296964
        55.000000	    0.276775	    0.276775
        60.000000	    0.258040	    0.258040
        65.000000	    0.238817	    0.238817
        70.000000	    0.219443	    0.219443
        75.000000	    0.201339	    0.201339
        80.000000	    0.186351	    0.186351
        85.000000	    0.176146	    0.176146
        90.000000	    0.168765	    0.168765
        95.000000	    0.160523	    0.160523
       100.000000	    0.150380	    0.150380
       105.000000	    0.138940	    0.138940
       110.000000	    0.127489	    0.127489
       115.000000	    0.117642	    0.117642
       120.000000	    0.109677	    0.109677
       125.000000	    0.102929	    0.102929
       130.000000	    0.097008	    0.097008
       135.000000	    0.091762	    0.091762
       140.000000	    0.087036	    0.087036
       145.000000	    0.082668	    0.082668
       150.000000	    0.078404	    0.078404
       155.000000	    0.073927	    0.073927
       160.000000	    0.069485	    0.069485
       165.000000	    0.065888	    0.065888
       170.000000	    0.063320	    0.063320
       175.000000	    0.061241	    0.061241
       180.000000	    0.059112	    0.059112
       185.000000	    0.056450	    0.056450
       190.000000	    0.053272	    0.053272
       195.000000	    0.050246	    0.050246
       200.000000	    0.047791	    0.047791
       205.000000	    0.045901	    0.045901
       210.000000	    0.044447	    0.044447
       215.000000	    0.043168	    0.043168
       220.000000	    0.041909	    0.041909
       225.000000	    0.040713	    0.040713
       230.000000	    0.039574	    0.039574
       235.000000	    0.038340	    0.038340
       240.000000	    0.036955	    0.036955
       245.000000	    0.035587	    0.035587
       250.000000	    0.034407	    0.034407
       255.000000	    0.033509	    0.033509
       260.000000	    0.032868	    0.032868
       265.000000	    0.032176	    0.032176
       270.000000	    0.031203	    0.031203
       275.000000	    0.030077	    0.030077
       280.000000	    0.028977	    0.028977
       285.000000	    0.028041	    0.028041
       290.000000	    0.027338	    0.027338
       295.000000	    0.026713	    0.026713
       300.000000	    0.026007	    0.026007
       305.000000	    0.025221	    0.025221
       310.000000	    0.024384	    0.024384
       315.000000	    0.023502	    0.023502
       320.000000	    0.022569	    0.022569
       325.000000	    0.021572	    0.021572
       330.000000	    0.020512	    0.020512
       335.000000	    0.019480	    0.019480
       340.000000	    0.018570	    0.018570
       345.000000	    0.017718	    0.017718
       350.000000	    0.016818	    0.016818
       355.000000	    0.015844	    0.015844
       360.000000	    0.014808	    0.014808
       365.000000	    0.013777	    0.013777
       370.000000	    0.012831	    0.012831
       375.000000	    0.011967	    0.011967
       380.000000	    0.011143	    0.011143
       385.000000	    0.010328	    0.010328
       390.000000	    0.009497	    0.009497
       395.000000	    0.008675	    0.008675
       400.000000	    0.007910	    0.007910
       405.000000	    0.007196	    0.007196
       410.000000	    0.006498	    0.006498
       415.000000	    0.005828	    0.005828
       420.000000	    0.005227	    0.005227
       425.000000	    0.004696	    0.004696
       430.000000	    0.004207	    0.004207
       435.000000	    0.003741	    0.003741
       440.000000	    0.003285	    0.003285
       445.000000	    0.002843	    0.002843
       450.000000	    0.002432	    0.002432
       455.000000	    0.002062	    0.002062
       460.000000	    0.001734	    0.001734
       465.000000	    0.001437	    0.001437
       470.000000	    0.001149	    0.001149
       475.000000	    0.000869	    0.000869
       480.000000	    0.000622	    0.000622
       485.000000	    0.000416	    0.000416
       490.000000	    0.000238	    0.000238
       495.000000	    0.000092	    0.000092
       500.000000	    0.000011	    0.000011
       505.000000	   -0.000005	   -0.000005
       510.000000	    0.000002	    0.000002
       515.000000	    0.000004	    0.000004
       520.000000	    0.000002	    0.000002
       525.000000	    0.000003	    0.000003
       530.000000	    0.000003	    0.000003
       535.000000	    0.000002	    0.000002
       540.000000	    0.000002	    0.000002
       545.000000	    0.000002	    0.000002
       550.000000	    0.000002	    0.000002
       555.000000	    0.000002	    0.000002
       560.000000	    0.000001	    0.000001
       565.000000	    0.000001	    0.000001
       570.000000	    0.000000	    0.000000
       575.000000	    0.000000	    0.000000
       580.000000	    0.000000	    0.000000
       585.000000	    0.000000	    0.000000
       590.000000	    0.000000	    0.000000
       595.000000	    0.000000	    0.000000
       600.000000	    0.000000	    0.000000

