Polychromatic Geometric MTF

File : C:\Users\Trisha\Documents\Zemax\Samples\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 10/24/2018


Data for 0.4700 to 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.970893	    0.970893
        10.000000	    0.927761	    0.927761
        15.000000	    0.868531	    0.868531
        20.000000	    0.802894	    0.802894
        25.000000	    0.736419	    0.736419
        30.000000	    0.672673	    0.672673
        35.000000	    0.614113	    0.614113
        40.000000	    0.561266	    0.561266
        45.000000	    0.513822	    0.513822
        50.000000	    0.471202	    0.471202
        55.000000	    0.432926	    0.432926
        60.000000	    0.398536	    0.398536
        65.000000	    0.367509	    0.367509
        70.000000	    0.339116	    0.339116
        75.000000	    0.312589	    0.312589
        80.000000	    0.287310	    0.287310
        85.000000	    0.263124	    0.263124
        90.000000	    0.240285	    0.240285
        95.000000	    0.219409	    0.219409
       100.000000	    0.201056	    0.201056
       105.000000	    0.185547	    0.185547
       110.000000	    0.172743	    0.172743
       115.000000	    0.162171	    0.162171
       120.000000	    0.153183	    0.153183
       125.000000	    0.145170	    0.145170
       130.000000	    0.137692	    0.137692
       135.000000	    0.130482	    0.130482
       140.000000	    0.123415	    0.123415
       145.000000	    0.116435	    0.116435
       150.000000	    0.109532	    0.109532
       155.000000	    0.102756	    0.102756
       160.000000	    0.096216	    0.096216
       165.000000	    0.090059	    0.090059
       170.000000	    0.084411	    0.084411
       175.000000	    0.079317	    0.079317
       180.000000	    0.074721	    0.074721
       185.000000	    0.070475	    0.070475
       190.000000	    0.066430	    0.066430
       195.000000	    0.062479	    0.062479
       200.000000	    0.058619	    0.058619
       205.000000	    0.054917	    0.054917
       210.000000	    0.051478	    0.051478
       215.000000	    0.048374	    0.048374
       220.000000	    0.045634	    0.045634
       225.000000	    0.043226	    0.043226
       230.000000	    0.041090	    0.041090
       235.000000	    0.039159	    0.039159
       240.000000	    0.037370	    0.037370
       245.000000	    0.035660	    0.035660
       250.000000	    0.033969	    0.033969
       255.000000	    0.032240	    0.032240
       260.000000	    0.030432	    0.030432
       265.000000	    0.028535	    0.028535
       270.000000	    0.026576	    0.026576
       275.000000	    0.024604	    0.024604
       280.000000	    0.022669	    0.022669
       285.000000	    0.020804	    0.020804
       290.000000	    0.019013	    0.019013
       295.000000	    0.017279	    0.017279
       300.000000	    0.015577	    0.015577
       305.000000	    0.013897	    0.013897
       310.000000	    0.012240	    0.012240
       315.000000	    0.010626	    0.010626
       320.000000	    0.009080	    0.009080
       325.000000	    0.007629	    0.007629
       330.000000	    0.006284	    0.006284
       335.000000	    0.005074	    0.005074
       340.000000	    0.004047	    0.004047
       345.000000	    0.003161	    0.003161
       350.000000	    0.002371	    0.002371
       355.000000	    0.001675	    0.001675
       360.000000	    0.001072	    0.001072
       365.000000	    0.000569	    0.000569
       370.000000	    0.000190	    0.000190
       375.000000	    0.000005	    0.000005
       380.000000	    0.000004	    0.000004
       385.000000	    0.000013	    0.000013
       390.000000	    0.000001	    0.000001
       395.000000	    0.000002	    0.000002
       400.000000	    0.000003	    0.000003
       405.000000	    0.000001	    0.000001
       410.000000	    0.000001	    0.000001
       415.000000	    0.000001	    0.000001
       420.000000	    0.000000	    0.000000
       425.000000	    0.000000	    0.000000
       430.000000	    0.000000	    0.000000
       435.000000	    0.000000	    0.000000
       440.000000	   -0.000000	   -0.000000
       445.000000	    0.000000	    0.000000
       450.000000	    0.000000	    0.000000

