Polychromatic Geometric MTF

File : C:\Users\tlian\Documents\Zemax\Samples\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 7/15/2018


Data for 0.4700 to 0.6500 µm.
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.100000	    0.894887	    0.894887
         0.200000	    0.767713	    0.767713
         0.300000	    0.615643	    0.615643
         0.400000	    0.487080	    0.487080
         0.500000	    0.410532	    0.410532
         0.600000	    0.362689	    0.362689
         0.700000	    0.325844	    0.325844
         0.800000	    0.296552	    0.296552
         0.900000	    0.272283	    0.272283
         1.000000	    0.250496	    0.250496
         1.100000	    0.228638	    0.228638
         1.200000	    0.205113	    0.205113
         1.300000	    0.185163	    0.185163
         1.400000	    0.174346	    0.174346
         1.500000	    0.165968	    0.165968
         1.600000	    0.153086	    0.153086
         1.700000	    0.139069	    0.139069
         1.800000	    0.127018	    0.127018
         1.900000	    0.115316	    0.115316
         2.000000	    0.104123	    0.104123
         2.100000	    0.096917	    0.096917
         2.200000	    0.093509	    0.093509
         2.300000	    0.089861	    0.089861
         2.400000	    0.084145	    0.084145
         2.500000	    0.076493	    0.076493
         2.600000	    0.069163	    0.069163
         2.700000	    0.064765	    0.064765
         2.800000	    0.062192	    0.062192
         2.900000	    0.059455	    0.059455
         3.000000	    0.055930	    0.055930
         3.100000	    0.051820	    0.051820
         3.200000	    0.048571	    0.048571
         3.300000	    0.046469	    0.046469
         3.400000	    0.043617	    0.043617
         3.500000	    0.040331	    0.040331
         3.600000	    0.039531	    0.039531
         3.700000	    0.040513	    0.040513
         3.800000	    0.039808	    0.039808
         3.900000	    0.037188	    0.037188
         4.000000	    0.034343	    0.034343
         4.100000	    0.033048	    0.033048
         4.200000	    0.034152	    0.034152
         4.300000	    0.034496	    0.034496
         4.400000	    0.031475	    0.031475
         4.500000	    0.027009	    0.027009
         4.600000	    0.023691	    0.023691
         4.700000	    0.023822	    0.023822
         4.800000	    0.026612	    0.026612
         4.900000	    0.027379	    0.027379
         5.000000	    0.025159	    0.025159
         5.100000	    0.022593	    0.022593
         5.200000	    0.020789	    0.020789
         5.300000	    0.019779	    0.019779
         5.400000	    0.019696	    0.019696
         5.500000	    0.020411	    0.020411
         5.600000	    0.020254	    0.020254
         5.700000	    0.018057	    0.018057
         5.800000	    0.015827	    0.015827
         5.900000	    0.015008	    0.015008
         6.000000	    0.014371	    0.014371
         6.100000	    0.013395	    0.013395
         6.200000	    0.013133	    0.013133
         6.300000	    0.013421	    0.013421
         6.400000	    0.012750	    0.012750
         6.500000	    0.011007	    0.011007
         6.600000	    0.009096	    0.009096
         6.700000	    0.007206	    0.007206
         6.800000	    0.005310	    0.005310
         6.900000	    0.004332	    0.004332
         7.000000	    0.004959	    0.004959
         7.100000	    0.005668	    0.005668
         7.200000	    0.005154	    0.005154
         7.300000	    0.003997	    0.003997
         7.400000	    0.002899	    0.002899
         7.500000	    0.002240	    0.002240
         7.600000	    0.001941	    0.001941
         7.700000	    0.001436	    0.001436
         7.800000	    0.000744	    0.000744
         7.900000	    0.000358	    0.000358
         8.000000	    0.000251	    0.000251
         8.100000	    0.000130	    0.000130
         8.200000	    0.000077	    0.000077
         8.300000	    0.000247	    0.000247
         8.400000	    0.000439	    0.000439
         8.500000	    0.000443	    0.000443
         8.600000	    0.000308	    0.000308
         8.700000	    0.000141	    0.000141
         8.800000	    0.000072	    0.000072
         8.900000	    0.000109	    0.000109
         9.000000	    0.000097	    0.000097
         9.100000	    0.000021	    0.000021
         9.200000	    0.000002	    0.000002
         9.300000	    0.000038	    0.000038
         9.400000	    0.000046	    0.000046
         9.500000	    0.000026	    0.000026
         9.600000	    0.000012	    0.000012
         9.700000	    0.000006	    0.000006
         9.800000	    0.000002	    0.000002
         9.900000	   -0.000000	   -0.000000
        10.000000	   -0.000000	   -0.000000
        10.100000	    0.000000	    0.000000
        10.200000	    0.000000	    0.000000
        10.300000	   -0.000000	   -0.000000
        10.400000	   -0.000000	   -0.000000
        10.500000	    0.000000	    0.000000
        10.600000	    0.000000	    0.000000
        10.700000	   -0.000000	   -0.000000
        10.800000	   -0.000000	   -0.000000
        10.900000	    0.000000	    0.000000
        11.000000	    0.000000	    0.000000

