Polychromatic Geometric MTF

File : C:\Users\tlian\Documents\Zemax\Samples\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 7/15/2018


Data for 0.4700 to 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.00, 0.00 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
        10.000000	    0.819528	    0.819528
        20.000000	    0.570426	    0.570426
        30.000000	    0.414818	    0.414818
        40.000000	    0.339923	    0.339923
        50.000000	    0.289786	    0.289786
        60.000000	    0.253645	    0.253645
        70.000000	    0.215239	    0.215239
        80.000000	    0.183360	    0.183360
        90.000000	    0.166957	    0.166957
       100.000000	    0.146410	    0.146410
       110.000000	    0.125556	    0.125556
       120.000000	    0.106208	    0.106208
       130.000000	    0.095399	    0.095399
       140.000000	    0.089223	    0.089223
       150.000000	    0.079194	    0.079194
       160.000000	    0.066903	    0.066903
       170.000000	    0.062243	    0.062243
       180.000000	    0.057049	    0.057049
       190.000000	    0.050693	    0.050693
       200.000000	    0.046596	    0.046596
       210.000000	    0.041705	    0.041705
       220.000000	    0.039461	    0.039461
       230.000000	    0.040095	    0.040095
       240.000000	    0.035584	    0.035584
       250.000000	    0.032998	    0.032998
       260.000000	    0.034674	    0.034674
       270.000000	    0.029742	    0.029742
       280.000000	    0.023283	    0.023283
       290.000000	    0.025999	    0.025999
       300.000000	    0.026609	    0.026609
       310.000000	    0.022606	    0.022606
       320.000000	    0.019723	    0.019723
       330.000000	    0.020012	    0.020012
       340.000000	    0.019987	    0.019987
       350.000000	    0.016900	    0.016900
       360.000000	    0.014481	    0.014481
       370.000000	    0.013630	    0.013630
       380.000000	    0.013178	    0.013178
       390.000000	    0.012457	    0.012457
       400.000000	    0.009419	    0.009419
       410.000000	    0.006136	    0.006136
       420.000000	    0.004385	    0.004385
       430.000000	    0.005385	    0.005385
       440.000000	    0.004846	    0.004846
       450.000000	    0.002778	    0.002778
       460.000000	    0.001952	    0.001952
       470.000000	    0.001242	    0.001242
       480.000000	    0.000317	    0.000317
       490.000000	    0.000181	    0.000181
       500.000000	    0.000085	    0.000085
       510.000000	    0.000381	    0.000381
       520.000000	    0.000432	    0.000432
       530.000000	    0.000076	    0.000076
       540.000000	    0.000105	    0.000105
       550.000000	    0.000065	    0.000065
       560.000000	    0.000028	    0.000028
       570.000000	    0.000045	    0.000045
       580.000000	    0.000021	    0.000021
       590.000000	    0.000006	    0.000006
       600.000000	   -0.000001	   -0.000001
       610.000000	    0.000000	    0.000000
       620.000000	   -0.000000	   -0.000000
       630.000000	    0.000000	    0.000000
       640.000000	    0.000000	    0.000000

