Polychromatic Geometric MTF

File : C:\Users\tlian\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 1/18/2019


Data for 0.4700 to 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.954486	    0.954486
        10.000000	    0.847766	    0.847766
        15.000000	    0.714464	    0.714464
        20.000000	    0.598627	    0.598627
        25.000000	    0.512159	    0.512159
        30.000000	    0.452803	    0.452803
        35.000000	    0.411881	    0.411881
        40.000000	    0.381947	    0.381947
        45.000000	    0.357555	    0.357555
        50.000000	    0.336307	    0.336307
        55.000000	    0.317838	    0.317838
        60.000000	    0.301129	    0.301129
        65.000000	    0.283611	    0.283611
        70.000000	    0.264323	    0.264323
        75.000000	    0.246364	    0.246364
        80.000000	    0.233469	    0.233469
        85.000000	    0.225815	    0.225815
        90.000000	    0.219947	    0.219947
        95.000000	    0.212139	    0.212139
       100.000000	    0.201237	    0.201237
       105.000000	    0.188449	    0.188449
       110.000000	    0.175925	    0.175925
       115.000000	    0.165442	    0.165442
       120.000000	    0.157412	    0.157412
       125.000000	    0.150927	    0.150927
       130.000000	    0.144966	    0.144966
       135.000000	    0.139521	    0.139521
       140.000000	    0.134850	    0.134850
       145.000000	    0.130421	    0.130421
       150.000000	    0.125437	    0.125437
       155.000000	    0.119957	    0.119957
       160.000000	    0.115062	    0.115062
       165.000000	    0.111648	    0.111648
       170.000000	    0.109507	    0.109507
       175.000000	    0.107679	    0.107679
       180.000000	    0.105168	    0.105168
       185.000000	    0.101565	    0.101565
       190.000000	    0.097367	    0.097367
       195.000000	    0.093717	    0.093717
       200.000000	    0.091425	    0.091425
       205.000000	    0.090271	    0.090271
       210.000000	    0.089535	    0.089535
       215.000000	    0.088827	    0.088827
       220.000000	    0.088208	    0.088208
       225.000000	    0.087667	    0.087667
       230.000000	    0.086886	    0.086886
       235.000000	    0.085715	    0.085715
       240.000000	    0.084418	    0.084418
       245.000000	    0.083453	    0.083453
       250.000000	    0.083144	    0.083144
       255.000000	    0.083471	    0.083471
       260.000000	    0.084004	    0.084004
       265.000000	    0.084134	    0.084134
       270.000000	    0.083670	    0.083670
       275.000000	    0.083096	    0.083096
       280.000000	    0.083098	    0.083098
       285.000000	    0.083905	    0.083905
       290.000000	    0.085150	    0.085150
       295.000000	    0.086402	    0.086402
       300.000000	    0.087491	    0.087491
       305.000000	    0.088386	    0.088386
       310.000000	    0.089062	    0.089062
       315.000000	    0.089505	    0.089505
       320.000000	    0.089766	    0.089766
       325.000000	    0.089954	    0.089954
       330.000000	    0.090280	    0.090280
       335.000000	    0.090956	    0.090956
       340.000000	    0.091945	    0.091945
       345.000000	    0.092786	    0.092786
       350.000000	    0.093101	    0.093101

