Polychromatic Huygens MTFFile : C:\Users\tlian\Documents\Zemax\Samples\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 8/30/2018


Data for 0.4700 to 0.6500 µm.
Angular Frequency units are cycles per mr.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         0.050000	    0.978023	    0.978023
         0.100000	    0.943338	    0.943338
         0.150000	    0.885514	    0.885514
         0.200000	    0.811303	    0.811303
         0.250000	    0.734932	    0.734932
         0.300000	    0.664768	    0.664768
         0.350000	    0.604437	    0.604437
         0.400000	    0.555374	    0.555374
         0.450000	    0.516196	    0.516196
         0.500000	    0.484924	    0.484924
         0.550000	    0.458640	    0.458640
         0.600000	    0.434711	    0.434711
         0.650000	    0.412379	    0.412379
         0.700000	    0.391468	    0.391468
         0.750000	    0.372360	    0.372360
         0.800000	    0.355678	    0.355678
         0.850000	    0.341451	    0.341451
         0.900000	    0.329183	    0.329183
         0.950000	    0.318275	    0.318275
         1.000000	    0.307996	    0.307996
         1.050000	    0.297843	    0.297843
         1.100000	    0.287947	    0.287947
         1.150000	    0.278553	    0.278553
         1.200000	    0.269973	    0.269973
         1.250000	    0.262491	    0.262491
         1.300000	    0.255915	    0.255915
         1.350000	    0.249795	    0.249795
         1.400000	    0.243690	    0.243690
         1.450000	    0.237179	    0.237179
         1.500000	    0.230115	    0.230115
         1.550000	    0.222804	    0.222804
         1.600000	    0.215603	    0.215603
         1.650000	    0.208887	    0.208887
         1.700000	    0.202955	    0.202955
         1.750000	    0.197669	    0.197669
         1.800000	    0.192743	    0.192743
         1.850000	    0.187865	    0.187865
         1.900000	    0.182723	    0.182723
         1.950000	    0.177276	    0.177276
         2.000000	    0.171761	    0.171761
         2.050000	    0.166441	    0.166441
         2.100000	    0.161595	    0.161595
         2.150000	    0.157400	    0.157400
         2.200000	    0.153695	    0.153695
         2.250000	    0.150247	    0.150247
         2.300000	    0.146807	    0.146807
         2.350000	    0.143140	    0.143140
         2.400000	    0.139275	    0.139275
         2.450000	    0.135412	    0.135412
         2.500000	    0.131761	    0.131761
         2.550000	    0.128541	    0.128541
         2.600000	    0.125841	    0.125841
         2.650000	    0.123490	    0.123490
         2.700000	    0.121285	    0.121285
         2.750000	    0.119011	    0.119011
         2.800000	    0.116487	    0.116487
         2.850000	    0.113781	    0.113781
         2.900000	    0.111062	    0.111062
         2.950000	    0.108508	    0.108508
         3.000000	    0.106300	    0.106300
         3.050000	    0.104464	    0.104464
         3.100000	    0.102842	    0.102842
         3.150000	    0.101258	    0.101258
         3.200000	    0.099527	    0.099527
         3.250000	    0.097521	    0.097521
         3.300000	    0.095327	    0.095327
         3.350000	    0.093092	    0.093092
         3.400000	    0.090966	    0.090966
         3.450000	    0.089095	    0.089095
         3.500000	    0.087456	    0.087456
         3.550000	    0.085900	    0.085900
         3.600000	    0.084270	    0.084270
         3.650000	    0.082403	    0.082403
         3.700000	    0.080215	    0.080215
         3.750000	    0.077808	    0.077808
         3.800000	    0.075313	    0.075313
         3.850000	    0.072872	    0.072872
