Polychromatic Huygens MTFFile : C:\Users\tlian\Documents\Zemax\Samples\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 8/30/2018


Data for 0.4700 to 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         1.000000	    0.993382	    0.993382
         2.000000	    0.986309	    0.986309
         3.000000	    0.978327	    0.978327
         4.000000	    0.968983	    0.968983
         5.000000	    0.957820	    0.957820
         6.000000	    0.944386	    0.944386
         7.000000	    0.928230	    0.928230
         8.000000	    0.909244	    0.909244
         9.000000	    0.887896	    0.887896
        10.000000	    0.864710	    0.864710
        11.000000	    0.840209	    0.840209
        12.000000	    0.814916	    0.814916
        13.000000	    0.789355	    0.789355
        14.000000	    0.764035	    0.764035
        15.000000	    0.739250	    0.739250
        16.000000	    0.715131	    0.715131
        17.000000	    0.691803	    0.691803
        18.000000	    0.669394	    0.669394
        19.000000	    0.648031	    0.648031
        20.000000	    0.627840	    0.627840
        21.000000	    0.608925	    0.608925
        22.000000	    0.591268	    0.591268
        23.000000	    0.574814	    0.574814
        24.000000	    0.559506	    0.559506
        25.000000	    0.545287	    0.545287
        26.000000	    0.532100	    0.532100
        27.000000	    0.519889	    0.519889
        28.000000	    0.508582	    0.508582
        29.000000	    0.498073	    0.498073
        30.000000	    0.488254	    0.488254
        31.000000	    0.479014	    0.479014
        32.000000	    0.470245	    0.470245
        33.000000	    0.461838	    0.461838
        34.000000	    0.453685	    0.453685
        35.000000	    0.445728	    0.445728
        36.000000	    0.437956	    0.437956
        37.000000	    0.430362	    0.430362
        38.000000	    0.422936	    0.422936
        39.000000	    0.415669	    0.415669
        40.000000	    0.408554	    0.408554
        41.000000	    0.401584	    0.401584
        42.000000	    0.394774	    0.394774
        43.000000	    0.388148	    0.388148
        44.000000	    0.381729	    0.381729
        45.000000	    0.375542	    0.375542
        46.000000	    0.369608	    0.369608
        47.000000	    0.363953	    0.363953
