Polychromatic Geometric MTF

File : C:\Users\tlian\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 12/25/2018


Data for 0.6500 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.979893	    0.979893
        10.000000	    0.950824	    0.950824
        15.000000	    0.912554	    0.912554
        20.000000	    0.866775	    0.866775
        25.000000	    0.814321	    0.814321
        30.000000	    0.756537	    0.756537
        35.000000	    0.694726	    0.694726
        40.000000	    0.630248	    0.630248
        45.000000	    0.564456	    0.564456
        50.000000	    0.498652	    0.498652
        55.000000	    0.434058	    0.434058
        60.000000	    0.371781	    0.371781
        65.000000	    0.312792	    0.312792
        70.000000	    0.257905	    0.257905
        75.000000	    0.207760	    0.207760
        80.000000	    0.162831	    0.162831
        85.000000	    0.123404	    0.123404
        90.000000	    0.089624	    0.089624
        95.000000	    0.061439	    0.061439
       100.000000	    0.038669	    0.038669
       105.000000	    0.021304	    0.021304
       110.000000	    0.007596	    0.007596
       115.000000	    0.002302	    0.002302
       120.000000	    0.004797	    0.004797
       125.000000	    0.006514	    0.006514
       130.000000	    0.005413	    0.005413
       135.000000	    0.001268	    0.001268
       140.000000	    0.002759	    0.002759
       145.000000	    0.008800	    0.008800
       150.000000	    0.015291	    0.015291
       155.000000	    0.022088	    0.022088
       160.000000	    0.028746	    0.028746
       165.000000	    0.034998	    0.034998
       170.000000	    0.040616	    0.040616
       175.000000	    0.045427	    0.045427
       180.000000	    0.049313	    0.049313
       185.000000	    0.052201	    0.052201
       190.000000	    0.054064	    0.054064
       195.000000	    0.054911	    0.054911
       200.000000	    0.054783	    0.054783
       205.000000	    0.053747	    0.053747
       210.000000	    0.051892	    0.051892
       215.000000	    0.049321	    0.049321
       220.000000	    0.046151	    0.046151
       225.000000	    0.042503	    0.042503
       230.000000	    0.038504	    0.038504
       235.000000	    0.034280	    0.034280
       240.000000	    0.029953	    0.029953
       245.000000	    0.025638	    0.025638
       250.000000	    0.021442	    0.021442
       255.000000	    0.017460	    0.017460
       260.000000	    0.013774	    0.013774
       265.000000	    0.010452	    0.010452
       270.000000	    0.007545	    0.007545
       275.000000	    0.005080	    0.005080
       280.000000	    0.003092	    0.003092
       285.000000	    0.001550	    0.001550
       290.000000	    0.000440	    0.000440
       295.000000	    0.000258	    0.000258
       300.000000	    0.000469	    0.000469
       305.000000	    0.000436	    0.000436
       310.000000	    0.000212	    0.000212
       315.000000	    0.000318	    0.000318
       320.000000	    0.000961	    0.000961
       325.000000	    0.001665	    0.001665
       330.000000	    0.002361	    0.002361
       335.000000	    0.003023	    0.003023
       340.000000	    0.003595	    0.003595
       345.000000	    0.004040	    0.004040
       350.000000	    0.004349	    0.004349

