Polychromatic Geometric MTF

File : C:\Users\tlian\Documents\Zemax\SAMPLES\Navarro_Trisha_scene2retina.ZMX
Title: 
Date : 12/27/2018


Data for 0.6000 µm.
Spatial Frequency units are cycles per mm.
Modulation is relative to 1.0.

Field: 0.0000 (deg)
Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         5.000000	    0.989475	    0.989475
        10.000000	    0.960855	    0.960855
        15.000000	    0.914937	    0.914937
        20.000000	    0.857519	    0.857519
        25.000000	    0.793210	    0.793210
        30.000000	    0.727595	    0.727595
        35.000000	    0.665509	    0.665509
        40.000000	    0.610747	    0.610747
        45.000000	    0.565624	    0.565624
        50.000000	    0.530856	    0.530856
        55.000000	    0.505679	    0.505679
        60.000000	    0.488173	    0.488173
        65.000000	    0.475710	    0.475710
        70.000000	    0.465483	    0.465483
        75.000000	    0.454982	    0.454982
        80.000000	    0.442369	    0.442369
        85.000000	    0.426664	    0.426664
        90.000000	    0.407771	    0.407771
        95.000000	    0.386338	    0.386338
       100.000000	    0.363506	    0.363506
       105.000000	    0.340593	    0.340593
       110.000000	    0.318782	    0.318782
       115.000000	    0.298900	    0.298900
       120.000000	    0.281287	    0.281287
       125.000000	    0.265791	    0.265791
       130.000000	    0.251856	    0.251856
       135.000000	    0.238703	    0.238703
       140.000000	    0.225529	    0.225529
       145.000000	    0.211697	    0.211697
       150.000000	    0.196865	    0.196865
       155.000000	    0.181039	    0.181039
       160.000000	    0.164547	    0.164547
       165.000000	    0.147946	    0.147946
       170.000000	    0.131878	    0.131878
       175.000000	    0.116929	    0.116929
       180.000000	    0.103503	    0.103503
       185.000000	    0.091757	    0.091757
       190.000000	    0.081589	    0.081589
       195.000000	    0.072686	    0.072686
       200.000000	    0.064613	    0.064613
       205.000000	    0.056932	    0.056932
       210.000000	    0.049301	    0.049301
       215.000000	    0.041549	    0.041549
       220.000000	    0.033706	    0.033706
       225.000000	    0.025980	    0.025980
       230.000000	    0.018707	    0.018707
       235.000000	    0.012225	    0.012225
       240.000000	    0.006966	    0.006966
       245.000000	    0.002757	    0.002757
       250.000000	    0.000475	    0.000475
       255.000000	    0.001218	    0.001218
       260.000000	    0.001728	    0.001728
       265.000000	    0.001593	    0.001593
       270.000000	    0.001170	    0.001170
       275.000000	    0.000628	    0.000628
       280.000000	    0.000218	    0.000218
       285.000000	    0.000279	    0.000279
       290.000000	    0.000859	    0.000859
       295.000000	    0.001776	    0.001776
       300.000000	    0.003218	    0.003218
       305.000000	    0.005380	    0.005380
       310.000000	    0.008323	    0.008323
       315.000000	    0.012007	    0.012007
       320.000000	    0.016281	    0.016281
       325.000000	    0.020915	    0.020915
       330.000000	    0.025649	    0.025649
       335.000000	    0.030248	    0.030248
       340.000000	    0.034551	    0.034551
       345.000000	    0.038473	    0.038473
       350.000000	    0.042067	    0.042067

